line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0032,24,25,66,81.126,False,"[[347.76, 189.72], [340.2, 203.16], [346.68, 218.76], [341.88, 254.76], [345.36, 266.76]]",actual,11.3576,0.007822,0.099862,0.00135558,50.0,
L0033,24,169,66,29.506,False,"[[348.6, 185.4], [352.68, 178.2], [349.68, 165.48], [349.663, 165.067], [349.647, 164.655], [349.634, 164.245], [349.621, 163.836], [349.611, 163.429], [349.601, 163.022], [349.593, 162.616], [349.586, 162.21], [349.58, 161.805], [349.575, 161.4], [349.571, 160.995], [349.568, 160.59], [349.565, 160.184], [349.563, 159.778], [349.562, 159.371], [349.561, 158.964], [349.56, 158.555], [349.56, 158.145], [349.56, 157.733], [349.56, 157.32]]",actual,4.1308,0.002845,0.03632,0.00049303,50.0,
L0034,25,36,66,35.03,False,"[[345.6, 266.76], [348.84, 250.2], [352.2, 241.32], [360.72, 242.88]]",actual,4.9042,0.003378,0.04312,0.00058534,50.0,
L0035,25,37,66,17.936,False,"[[326.76, 270.36], [344.28, 266.52]]",actual,2.511,0.001729,0.022078,0.0002997,50.0,
L0036,25,39,66,73.103,False,"[[348.48, 268.32], [358.32, 282.0], [353.88, 297.0], [354.84, 306.84], [360.96, 324.12], [369.84, 332.76]]",actual,10.2344,0.007048,0.089986,0.00122152,50.0,
L0037,26,27,66,58.058,False,"[[395.16, 342.72], [395.25, 343.35], [395.34, 343.98], [395.43, 344.61], [395.521, 345.239], [395.612, 345.868], [395.703, 346.497], [395.795, 347.125], [395.888, 347.752], [395.981, 348.379], [396.075, 349.005], [396.17, 349.63], [396.266, 350.254], [396.363, 350.877], [396.461, 351.499], [396.561, 352.119], [396.661, 352.739], [396.764, 353.356], [396.867, 353.973], [396.973, 354.587], [397.08, 355.2], [411.72, 377.4], [421.44, 375.24], [430.32, 375.12]]",actual,8.1281,0.005598,0.071466,0.00097013,50.0,
L0038,26,163,66,29.356,False,"[[370.92, 348.24], [383.52, 352.44], [390.48, 352.44], [391.92, 343.44]]",actual,4.1098,0.00283,0.036136,0.00049053,50.0,
592D,27,40,66,45.508,False,"[[430.08, 375.12], [429.72, 393.24], [425.88, 399.96], [425.897, 400.572], [425.913, 401.184], [425.927, 401.796], [425.94, 402.408], [425.951, 403.02], [425.962, 403.632], [425.972, 404.244], [425.982, 404.856], [425.991, 405.468], [426.0, 406.08], [426.009, 406.692], [426.018, 407.304], [426.028, 407.916], [426.038, 408.528], [426.049, 409.14], [426.06, 409.752], [426.073, 410.364], [426.087, 410.976], [426.103, 411.588], [426.12, 412.2], [433.2, 414.36]]",actual,6.3711,0.004388,0.056018,0.00076042,50.0,
592C,27,181,66,51.895,False,"[[438.96, 374.4], [446.52, 373.56], [458.76, 367.92], [482.04, 366.96], [488.497, 363.122]]",actual,7.2653,0.005004,0.06388,0.00086715,50.0,
L0039,28,30,66,86.098,False,"[[506.04, 691.68], [514.92, 697.44], [515.983, 697.808], [517.151, 698.191], [518.416, 698.588], [519.768, 698.997], [521.199, 699.418], [522.701, 699.849], [524.266, 700.29], [525.883, 700.739], [527.546, 701.194], [529.245, 701.655], [530.972, 702.121], [532.718, 702.589], [534.476, 703.06], [536.235, 703.533], [537.988, 704.004], [539.726, 704.475], [541.441, 704.943], [543.124, 705.407], [544.767, 705.867], [546.36, 706.32], [546.594, 706.815], [546.828, 707.328], [547.061, 707.853], [547.294, 708.39], [547.526, 708.934], [547.758, 709.482], [547.988, 710.032], [548.217, 710.58], [548.444, 711.124], [548.67, 711.66], [548.894, 712.185], [549.116, 712.696], [549.336, 713.191], [549.554, 713.665], [549.769, 714.116], [549.981, 714.541], [550.191, 714.937], [550.397, 715.301], [550.6, 715.63], [550.8, 715.92], [554.4, 717.12], [582.72, 714.36]]",actual,12.0537,0.008301,0.105982,0.00143866,50.0,
