bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
57,451.02,916.92,2,substation_or_sw,1次変電所,小松,False,,PQ,0.0,0.0,0.0,0.0,1.0
58,480.84,915.36,1,junction,,小松,False,,PQ,0.0,0.0,0.0,0.0,1.0
59,500.28,935.04,2,substation_or_sw,開閉所,窪田町,False,,PQ,0.0,0.0,0.0,0.0,1.0
60,356.88,826.74,2,generator,発電所,(350503),False,,PQ,0.0,0.0,5.0,2.4216,1.0
61,322.68,807.96,1,generator,発電所,(350504),False,,PQ,0.0,0.0,5.0,2.4216,1.0
62,501.6,921.6,1,substation_or_sw,開閉所,窪田町,False,,PQ,0.0,0.0,0.0,0.0,1.0
63,513.0,921.6,1,substation_or_sw,変電所,窪田町,False,,PQ,4.0,1.9373,0.0,0.0,1.0
64,508.4,905.56,1,substation_or_sw,開閉所,石岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
65,544.32,909.6,1,substation_or_sw,開閉所,高畠,False,,PQ,0.0,0.0,0.0,0.0,1.0
66,593.68,633.2,3,substation_or_sw,開閉所,長崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
67,686.205,561.952,2,substation_or_sw,変電所,東根,False,,PQ,4.0,1.9373,0.0,0.0,1.0
68,609.0,620.64,1,junction,,栄町通,False,,PQ,0.0,0.0,0.0,0.0,1.0
69,636.42,581.1,2,substation_or_sw,開閉所,神町,False,,PQ,0.0,0.0,0.0,0.0,1.0
70,604.08,761.76,1,substation_or_sw,開閉所,谷柏,False,,PQ,0.0,0.0,0.0,0.0,1.0
71,622.78,749.34,2,substation_or_sw,開閉所,桜田,False,,PQ,0.0,0.0,0.0,0.0,1.0
72,642.96,553.44,1,junction,,東根,False,,PQ,0.0,0.0,0.0,0.0,1.0
73,580.92,772.08,1,junction,,谷柏,False,,PQ,0.0,0.0,0.0,0.0,1.0
74,593.52,772.8,1,substation_or_sw,開閉所,谷柏,False,,PQ,0.0,0.0,0.0,0.0,1.0
75,406.68,895.2,1,substation_or_sw,開閉所,飯豊町,False,,PQ,0.0,0.0,0.0,0.0,1.0
76,649.44,436.2,1,junction,,尾花沢,False,,PQ,0.0,0.0,0.0,0.0,1.0
77,653.28,447.6,1,substation_or_sw,変電所,尾花沢,False,,PQ,4.0,1.9373,0.0,0.0,1.0
78,565.68,307.44,1,junction,,真室川,False,,PQ,0.0,0.0,0.0,0.0,1.0
79,594.72,319.2,1,substation_or_sw,開閉所,新庄十日町,False,,PQ,0.0,0.0,0.0,0.0,1.0
80,417.24,175.62,2,generator,発電所,(350711),False,,PQ,0.0,0.0,5.0,2.4216,1.0
81,468.0,153.36,1,generator,発電所,(350702),False,,PQ,0.0,0.0,5.0,2.4216,1.0
82,299.2,351.12,3,substation_or_sw,開閉所,北鶴岡,False,,PQ,0.0,0.0,0.0,0.0,1.0
83,340.92,452.4,2,junction,,(350906),False,,PQ,0.0,0.0,0.0,0.0,1.0
84,314.6,478.6,3,generator,発電所,(350903),False,,PQ,0.0,0.0,5.0,2.4216,1.0
85,361.98,145.38,2,substation_or_sw,開閉所,遊佐,False,,PQ,0.0,0.0,0.0,0.0,1.0
86,376.92,154.62,4,generator,発電所,(350706),False,,PQ,0.0,0.0,5.0,2.4216,1.0
87,357.36,112.8,1,junction,,遊佐,True,N,PQ,0.0,0.0,0.0,0.0,1.0
88,537.096,981.625,3,substation_or_sw,開閉所,八幡原,False,,PQ,0.0,0.0,0.0,0.0,1.0
89,519.36,1002.001,1,junction,,八幡原,False,,PQ,0.0,0.0,0.0,0.0,1.0
90,552.84,972.121,1,substation_or_sw,変電所,八幡原,False,,PQ,4.0,1.9373,0.0,0.0,1.0
91,704.16,335.04,1,substation_or_sw,開閉所,向町,False,,PQ,0.0,0.0,0.0,0.0,1.0
92,221.0,867.0,3,junction,,小国,False,,PQ,0.0,0.0,0.0,0.0,1.0
93,251.52,857.46,2,substation_or_sw,開閉所,小国,False,,PQ,0.0,0.0,0.0,0.0,1.0
94,181.08,859.92,1,junction,,,True,W,PQ,0.0,0.0,0.0,0.0,1.0
95,299.88,871.8,1,generator,発電所,小国,False,,PQ,0.0,0.0,5.0,2.4216,1.0
96,320.52,305.28,1,substation_or_sw,開閉所,浜中,False,,PQ,0.0,0.0,0.0,0.0,1.0
97,354.42,303.0,2,junction,,庄内,False,,PQ,0.0,0.0,0.0,0.0,1.0
