line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0006,5,151,66,21.542,False,"[[153.6, 695.64], [158.4, 716.64]]",actual
231D,6,148,66,52.055,False,"[[228.72, 717.6], [231.12, 742.44], [227.4, 750.48], [209.16, 750.6]]",actual
221J,6,152,66,54.086,False,"[[209.16, 752.88], [228.0, 752.88], [232.68, 769.56], [226.44, 786.36]]",actual
L0007,7,8,66,14.674,False,"[[160.44, 761.16], [169.68, 749.76]]",actual
282B,9,10,66,34.658,False,"[[666.36, 630.24], [684.24, 623.04], [699.6, 623.88]]",actual
282M,9,11,66,225.876,False,"[[667.08, 631.44], [667.08, 668.52], [670.32, 676.32], [670.356, 677.617], [670.392, 678.915], [670.428, 680.215], [670.464, 681.516], [670.5, 682.819], [670.536, 684.122], [670.572, 685.426], [670.608, 686.73], [670.644, 688.035], [670.68, 689.34], [670.716, 690.645], [670.752, 691.95], [670.788, 693.254], [670.824, 694.558], [670.86, 695.861], [670.896, 697.164], [670.932, 698.465], [670.968, 699.765], [671.004, 701.063], [671.04, 702.36], [680.28, 721.2], [680.28, 775.8], [690.24, 795.36], [673.68, 805.8], [667.08, 842.4]]",actual
L0008,9,50,66,34.732,False,"[[637.2, 639.36], [648.6, 639.36], [655.92, 629.04], [666.6, 629.04]]",actual
292F,11,30,66,19.953,False,"[[644.52, 845.04], [653.76, 841.92], [663.96, 841.92]]",actual
292H,11,31,66,34.515,False,"[[665.64, 844.44], [654.6, 844.44], [646.2, 846.96], [633.0, 853.44]]",actual
292C,11,27,66,160.205,False,"[[668.28, 864.84], [666.36, 869.64], [641.52, 894.36], [601.44, 900.6], [594.6, 910.2], [594.473, 910.614], [594.345, 911.028], [594.215, 911.442], [594.084, 911.856], [593.951, 912.27], [593.818, 912.684], [593.684, 913.098], [593.55, 913.512], [593.415, 913.926], [593.28, 914.34], [593.145, 914.754], [593.01, 915.168], [592.876, 915.582], [592.742, 915.996], [592.609, 916.41], [592.476, 916.824], [592.345, 917.238], [592.215, 917.652], [592.087, 918.066], [591.96, 918.48], [588.72, 924.24], [584.16, 937.08], [584.16, 955.561], [580.8, 964.561], [585.36, 974.161]]",actual
L0009,12,13,66,21.12,False,"[[666.84, 666.48], [687.96, 666.48]]",actual
282N,15,16,66,10.8,False,"[[690.96, 721.56], [680.16, 721.56]]",actual
221B,17,18,66,120.1,False,"[[87.12, 666.72], [92.64, 678.36], [93.96, 751.08], [96.96, 760.08], [93.24, 784.8]]",actual
L0010,17,151,66,83.604,False,"[[87.12, 662.64], [100.56, 669.48], [112.44, 666.48], [118.44, 677.76], [129.24, 680.52], [129.312, 680.377], [129.384, 680.235], [129.456, 680.095], [129.528, 679.956], [129.6, 679.819], [129.672, 679.682], [129.744, 679.546], [129.816, 679.41], [129.888, 679.275], [129.96, 679.14], [130.032, 679.005], [130.104, 678.87], [130.176, 678.734], [130.248, 678.598], [130.32, 678.461], [130.392, 678.324], [130.464, 678.185], [130.536, 678.045], [130.608, 677.903], [130.68, 677.76], [142.92, 677.76], [143.529, 678.263], [144.134, 678.799], [144.734, 679.364], [145.331, 679.954], [145.924, 680.565], [146.514, 681.194], [147.103, 681.838], [147.689, 682.493], [148.275, 683.155], [148.86, 683.82], [149.445, 684.485], [150.031, 685.147], [150.617, 685.802], [151.206, 686.446], [151.796, 687.075], [152.389, 687.686], [152.986, 688.276], [153.586, 688.841], [154.191, 689.377], [154.8, 689.88]]",actual
222B,17,207,66,26.01,False,"[[101.04, 648.96], [104.88, 659.16], [90.12, 662.4]]",actual
221H,18,152,66,129.0,False,"[[98.16, 786.36], [227.16, 786.36]]",actual
231C,19,20,66,18.026,False,"[[139.2, 768.84], [138.24, 786.84]]",actual
231A,19,193,66,11.702,False,"[[138.24, 776.28], [126.6, 775.08]]",actual
L0011,21,22,66,26.762,False,"[[416.88, 603.84], [420.72, 614.88], [417.72, 618.72], [407.52, 618.72]]",actual
L0012,21,69,66,19.107,False,"[[400.8, 570.6], [413.76, 584.64]]",actual
L0013,22,67,66,31.079,False,"[[381.12, 603.12], [408.0, 618.72]]",actual
L0014,22,76,66,28.174,False,"[[408.84, 621.6], [418.2, 621.6], [420.12, 630.72], [417.48, 639.84]]",actual
L0015,22,65,66,10.885,False,"[[400.08, 613.68], [397.44, 624.24]]",actual
221C,23,24,66,31.082,False,"[[121.8, 678.96], [121.44, 710.04]]",actual
L0016,25,26,66,55.926,False,"[[299.52, 909.24], [299.76, 933.84], [301.08, 936.36], [317.76, 939.36], [329.04, 936.96]]",actual
261A,25,26,66,41.234,False,"[[301.92, 906.24], [311.28, 906.84], [311.682, 907.577], [312.164, 908.449], [312.718, 909.445], [313.339, 910.553], [314.019, 911.764], [314.752, 913.065], [315.531, 914.446], [316.349, 915.897], [317.199, 917.405], [318.075, 918.96], [318.97, 920.551], [319.877, 922.167], [320.789, 923.798], [321.7, 925.431], [322.603, 927.056], [323.491, 928.663], [324.358, 930.239], [325.196, 931.775], [325.999, 933.259], [326.76, 934.68]]",actual
L0017,25,126,66,17.141,False,"[[300.12, 905.76], [288.12, 903.6], [285.0, 907.44]]",actual
L0018,25,126,66,12.241,False,"[[287.04, 917.16], [299.28, 917.04]]",actual
L0019,25,93,66,34.786,False,"[[302.76, 902.52], [309.36, 902.52], [307.92, 895.44], [310.56, 884.64], [320.4, 884.4]]",actual
261B,25,129,66,13.081,False,"[[307.8, 895.2], [320.88, 895.08]]",actual
L0020,25,203,66,26.818,False,"[[301.68, 903.72], [287.52, 899.76], [280.8, 889.68]]",actual
261C,26,127,66,62.376,False,"[[330.72, 936.84], [335.76, 936.24], [339.0, 931.2], [381.84, 931.2], [381.894, 930.786], [381.948, 930.372], [382.002, 929.958], [382.056, 929.543], [382.11, 929.128], [382.164, 928.713], [382.218, 928.297], [382.272, 927.88], [382.326, 927.463], [382.38, 927.045], [382.434, 926.626], [382.488, 926.206], [382.542, 925.785], [382.596, 925.363], [382.65, 924.939], [382.704, 924.515], [382.758, 924.088], [382.812, 923.661], [382.866, 923.231], [382.92, 922.8]]",actual
L0021,27,28,66,24.726,False,"[[585.48, 977.041], [577.8, 981.841], [577.92, 987.601], [578.373, 987.745], [578.833, 987.889], [579.299, 988.033], [579.77, 988.177], [580.245, 988.321], [580.724, 988.465], [581.205, 988.609], [581.689, 988.753], [582.174, 988.897], [582.66, 989.041], [583.146, 989.185], [583.631, 989.329], [584.115, 989.473], [584.596, 989.617], [585.075, 989.761], [585.55, 989.905], [586.021, 990.049], [586.487, 990.193], [586.946, 990.337], [587.4, 990.481]]",actual
L0022,27,52,66,11.753,False,"[[577.08, 964.681], [582.24, 975.241]]",actual
293A,27,108,66,26.989,False,"[[584.88, 977.281], [595.92, 974.281], [595.742, 974.298], [595.708, 974.314], [595.81, 974.327], [596.041, 974.34], [596.392, 974.35], [596.857, 974.36], [597.428, 974.368], [598.097, 974.375], [598.857, 974.381], [599.7, 974.386], [600.619, 974.39], [601.605, 974.393], [602.652, 974.396], [603.752, 974.398], [604.897, 974.399], [606.081, 974.4], [607.294, 974.401], [608.53, 974.401], [609.781, 974.401], [611.04, 974.401]]",actual
L0023,27,59,66,39.173,False,"[[581.88, 975.241], [574.08, 979.681], [572.76, 986.641], [564.96, 985.801], [556.68, 988.441], [558.36, 994.801]]",actual
292J,30,31,66,33.615,False,"[[644.88, 844.68], [629.4, 852.12], [629.4, 868.56]]",actual
L0024,31,32,66,129.387,False,"[[528.36, 836.64], [521.04, 840.48], [520.985, 840.68], [520.929, 840.883], [520.87, 841.089], [520.811, 841.297], [520.749, 841.508], [520.687, 841.72], [520.623, 841.934], [520.558, 842.148], [520.492, 842.364], [520.425, 842.58], [520.357, 842.796], [520.288, 843.012], [520.219, 843.226], [520.149, 843.44], [520.078, 843.652], [520.007, 843.863], [519.936, 844.071], [519.864, 844.277], [519.792, 844.48], [519.72, 844.68], [526.44, 846.6], [545.16, 845.88], [557.88, 855.96], [573.12, 862.32], [588.84, 859.2], [604.56, 864.72], [617.28, 867.72], [629.76, 868.32]]",actual
292G,31,51,66,65.631,False,"[[632.64, 869.16], [632.571, 869.622], [632.509, 870.073], [632.453, 870.513], [632.401, 870.945], [632.353, 871.369], [632.308, 871.787], [632.266, 872.199], [632.225, 872.608], [632.185, 873.015], [632.145, 873.42], [632.104, 873.825], [632.061, 874.232], [632.016, 874.641], [631.967, 875.053], [631.914, 875.471], [631.857, 875.895], [631.793, 876.327], [631.723, 876.768], [631.646, 877.218], [631.56, 877.68], [631.541, 878.059], [631.521, 878.439], [631.499, 878.821], [631.476, 879.204], [631.451, 879.589], [631.426, 879.974], [631.4, 880.36], [631.374, 880.746], [631.347, 881.133], [631.32, 881.52], [631.293, 881.907], [631.266, 882.294], [631.24, 882.68], [631.214, 883.066], [631.189, 883.451], [631.164, 883.836], [631.141, 884.219], [631.119, 884.601], [631.099, 884.981], [631.08, 885.36], [625.2, 891.84], [599.88, 894.36], [591.12, 906.72]]",actual
L0025,32,123,66,118.304,False,"[[428.52, 808.8], [428.502, 809.231], [428.484, 809.661], [428.466, 810.088], [428.448, 810.515], [428.43, 810.939], [428.412, 811.363], [428.394, 811.785], [428.376, 812.206], [428.358, 812.626], [428.34, 813.045], [428.322, 813.463], [428.304, 813.88], [428.286, 814.297], [428.268, 814.713], [428.25, 815.128], [428.232, 815.543], [428.214, 815.958], [428.196, 816.372], [428.178, 816.786], [428.16, 817.2], [443.04, 820.8], [449.52, 816.84], [490.8, 833.04], [500.16, 838.92], [514.92, 843.12], [518.16, 836.64], [526.56, 833.4]]",actual
L0026,32,233,33,41.97,False,"[[534.84, 807.84], [539.04, 808.56], [543.72, 808.56], [542.4, 811.92], [540.36, 820.56], [533.52, 827.16], [525.96, 835.2]]",actual
L0027,33,34,66,71.58,False,"[[562.08, 187.44], [581.76, 222.6], [590.64, 252.6]]",actual
L0028,34,35,66,17.496,False,"[[590.64, 252.6], [606.36, 244.92]]",actual
281P,34,190,66,30.12,False,"[[590.76, 252.36], [587.28, 253.08], [563.4, 264.72]]",actual
L0029,34,191,66,26.214,False,"[[594.0, 250.92], [592.32, 224.76]]",actual
L0030,34,192,66,14.869,False,"[[597.0, 249.84], [598.8, 235.08]]",actual
281F,35,47,66,102.44,False,"[[609.48, 246.72], [593.28, 257.88], [601.68, 267.84], [607.68, 278.52], [609.6, 290.64], [613.56, 291.84], [618.12, 301.44], [618.12, 305.88], [623.16, 319.2], [623.195, 319.452], [623.229, 319.704], [623.261, 319.956], [623.291, 320.208], [623.321, 320.46], [623.35, 320.712], [623.378, 320.964], [623.406, 321.216], [623.433, 321.468], [623.46, 321.72], [623.487, 321.972], [623.514, 322.224], [623.542, 322.476], [623.57, 322.728], [623.599, 322.98], [623.628, 323.232], [623.659, 323.484], [623.691, 323.736], [623.725, 323.988], [623.76, 324.24], [617.28, 325.92]]",actual
L0031,36,37,66,29.618,False,"[[666.84, 645.24], [674.88, 653.4], [686.88, 653.4], [686.16, 647.28]]",actual
L0032,38,39,66,37.671,False,"[[414.6, 427.44], [409.44, 435.12], [409.438, 435.472], [409.433, 435.844], [409.426, 436.233], [409.416, 436.638], [409.404, 437.055], [409.391, 437.483], [409.378, 437.92], [409.363, 438.363], [409.349, 438.81], [409.335, 439.26], [409.322, 439.71], [409.31, 440.157], [409.301, 440.6], [409.293, 441.037], [409.288, 441.465], [409.286, 441.882], [409.288, 442.287], [409.294, 442.676], [409.305, 443.048], [409.32, 443.4], [405.6, 450.0], [396.84, 459.0]]",actual
212B,38,72,66,67.937,False,"[[414.84, 427.08], [421.44, 429.48], [454.32, 425.52], [462.96, 427.92], [470.76, 423.96], [480.72, 425.52]]",actual
L0033,38,82,66,69.117,False,"[[415.56, 425.52], [416.16, 417.36], [417.96, 406.92], [421.8, 396.72], [422.64, 383.16], [425.16, 372.96], [427.44, 368.64], [437.88, 367.92]]",actual
223F,39,73,66,84.66,False,"[[351.48, 518.04], [363.12, 518.16], [366.6, 507.0], [366.84, 498.96], [374.4, 477.0], [383.76, 474.24], [387.6, 469.2], [396.6, 458.52]]",actual
223Q,40,41,66,57.086,False,"[[311.16, 479.16], [318.36, 477.24], [326.28, 477.84], [331.56, 482.28], [348.72, 486.72], [354.72, 484.2], [365.28, 484.2]]",actual
L0034,40,42,66,39.0,False,"[[269.28, 482.52], [308.28, 482.52]]",actual
L0035,40,42,33,42.12,False,"[[266.64, 479.64], [308.76, 479.64]]",actual
L0036,40,213,33,70.33,False,"[[310.2, 479.4], [308.88, 474.72], [302.04, 470.88], [300.72, 463.56], [298.68, 461.64], [296.64, 453.12], [301.44, 446.52], [300.0, 442.56], [304.08, 439.32], [302.04, 430.8], [298.68, 428.76], [299.4, 424.92], [297.96, 420.72]]",actual
223M,42,43,66,33.627,False,"[[235.08, 499.68], [267.48, 490.68]]",actual
223K,42,217,33,18.323,False,"[[266.64, 479.64], [262.32, 479.64], [258.0, 475.44], [252.24, 469.92]]",actual
L0037,42,221,33,10.991,False,"[[253.56, 488.16], [264.36, 486.12]]",actual
223J,42,238,33,26.183,False,"[[256.32, 454.8], [258.6, 467.4], [264.0, 479.64]]",actual
L0038,44,45,66,43.26,False,"[[439.8, 547.8], [446.04, 548.64], [449.52, 551.16], [458.04, 551.16], [463.32, 546.36], [465.84, 545.04], [469.2, 545.64], [472.44, 542.04], [478.32, 541.44]]",actual
L0039,44,143,66,76.863,False,"[[361.56, 550.92], [376.68, 547.32], [438.0, 547.32]]",actual
L0040,45,46,66,47.232,False,"[[501.36, 508.8], [497.4, 509.28], [487.2, 515.4], [485.16, 523.08], [489.96, 530.76], [488.28, 540.36], [483.72, 540.96]]",actual
281G,48,49,66,28.805,False,"[[595.92, 536.88], [600.0, 533.64], [606.6, 531.72], [615.24, 525.96], [621.24, 523.92]]",actual
L0041,49,50,66,124.192,False,"[[620.04, 525.36], [625.92, 547.44], [633.84, 576.0], [633.84, 589.56], [638.52, 592.8], [644.4, 614.28], [639.12, 623.28], [641.76, 630.48], [633.84, 639.6]]",actual
281J,49,218,33,41.363,False,"[[580.56, 514.44], [591.72, 518.16], [599.76, 516.84], [605.04, 516.84], [609.6, 521.88], [614.88, 523.08], [618.84, 523.08]]",actual
281H,49,226,33,63.391,False,"[[622.68, 524.4], [630.0, 522.84], [636.48, 519.72], [642.24, 518.88], [650.16, 523.68], [658.08, 520.44], [671.88, 520.44], [682.68, 523.68]]",actual
283A,50,140,66,48.267,False,"[[634.2, 637.8], [628.92, 635.04], [628.849, 634.86], [628.779, 634.68], [628.712, 634.5], [628.645, 634.32], [628.581, 634.14], [628.517, 633.96], [628.455, 633.78], [628.394, 633.6], [628.334, 633.42], [628.275, 633.24], [628.217, 633.06], [628.16, 632.88], [628.103, 632.7], [628.047, 632.52], [627.992, 632.34], [627.937, 632.16], [627.882, 631.98], [627.828, 631.8], [627.774, 631.62], [627.72, 631.44], [619.08, 630.0], [612.0, 635.4], [606.84, 642.36], [600.48, 646.32], [600.498, 646.554], [600.516, 646.788], [600.534, 647.022], [600.552, 647.256], [600.57, 647.49], [600.588, 647.724], [600.606, 647.958], [600.624, 648.192], [600.642, 648.426], [600.66, 648.66], [600.678, 648.894], [600.696, 649.128], [600.714, 649.362], [600.732, 649.596], [600.75, 649.83], [600.768, 650.064], [600.786, 650.298], [600.804, 650.532], [600.822, 650.766], [600.84, 651.0]]",actual
L0042,51,52,66,61.417,False,"[[591.12, 906.72], [591.12, 910.56], [589.08, 918.24], [584.4, 922.08], [579.84, 940.2], [580.44, 950.52], [577.08, 964.681]]",actual
L0043,52,107,66,22.036,False,"[[584.4, 950.04], [606.12, 946.32]]",actual
L0044,52,107,66,19.472,False,"[[586.08, 953.041], [605.28, 949.8]]",actual
