bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,lat,lon,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
45,403.32,328.951,0,substation_or_sw,変電所,,False,,37.37534075834714,140.4795029859897,PQ,4.0,1.9373,0.0,0.0,1.0
46,459.76,85.671,3,substation_or_sw,開閉所,,False,,37.621364177780656,140.3829023188697,PQ,0.0,0.0,0.0,0.0,1.0
47,461.04,96.511,1,substation_or_sw,開閉所,,False,,37.611585454121645,140.37986721080327,PQ,0.0,0.0,0.0,0.0,1.0
48,402.676,506.126,1,substation_or_sw,変電所,(360913),False,,37.20878624426043,140.4716033852222,PQ,4.0,1.9373,0.0,0.0,1.0
49,138.6,105.991,1,substation_or_sw,変電所,,False,,37.502123322344495,141.0029936295741,PQ,4.0,1.9373,0.0,0.0,1.0
50,146.1,132.241,2,substation_or_sw,開閉所,,False,,37.479815662404064,140.9871333095212,PQ,0.0,0.0,0.0,0.0,1.0
51,445.52,426.171,6,substation_or_sw,開閉所,矢祭,False,,37.29721982015256,140.3928678461633,PQ,0.0,0.0,0.0,0.0,1.0
52,188.96,457.511,4,substation_or_sw,変電所,植田,False,,37.187779192848346,140.88745058225444,PQ,4.0,1.9373,0.0,0.0,1.0
53,166.62,463.411,2,substation_or_sw,開閉所,泉町,False,,37.17527224857766,140.9303527683982,PQ,0.0,0.0,0.0,0.0,1.0
54,250.32,367.231,2,substation_or_sw,開閉所,,False,,37.29168183489197,140.7734370745141,PQ,0.0,0.0,0.0,0.0,1.0
55,242.743,382.985,3,substation_or_sw,開閉所,(361310),False,,37.27452696258332,140.7872782225855,PQ,0.0,0.0,0.0,0.0,1.0
56,283.56,379.471,2,junction,,,False,,37.2905561607747,140.70851740011605,PQ,0.0,0.0,0.0,0.0,1.0
57,606.72,499.111,2,generator,発電所,北小名浜,False,,37.27900911702544,140.07733375822755,PQ,0.0,0.0,5.0,2.4216,1.0
58,168.48,353.071,1,substation_or_sw,開閉所,,False,,37.27945309073008,140.93245078181397,PQ,0.0,0.0,0.0,0.0,1.0
59,178.968,338.479,3,generator,発電所,,False,,37.29642480425762,140.912919630013,PQ,0.0,0.0,5.0,2.4216,1.0
60,521.88,492.511,2,substation_or_sw,開閉所,,False,,37.25874648911848,140.2417594019134,PQ,0.0,0.0,0.0,0.0,1.0
61,518.64,508.951,1,substation_or_sw,変電所,,False,,37.242300119824264,140.2471771574285,PQ,4.0,1.9373,0.0,0.0,1.0
62,237.6,341.671,1,junction,,,False,,37.31171364781236,140.79935753095603,PQ,0.0,0.0,0.0,0.0,1.0
63,136.2,547.111,1,junction,,好間,False,,37.087197147852635,140.98486634152405,PQ,0.0,0.0,0.0,0.0,1.0
64,325.92,745.591,1,substation_or_sw,開閉所,(360808),False,,36.96000875266103,140.60769317017412,PQ,0.0,0.0,0.0,0.0,1.0
65,247.2,707.131,2,substation_or_sw,変電所,(360803),False,,36.971568886789065,140.76192691286963,PQ,4.0,1.9373,0.0,0.0,1.0
66,279.6,705.871,1,junction,,(360803),False,,36.98285669649521,140.69932866318055,PQ,0.0,0.0,0.0,0.0,1.0
67,514.5,130.171,2,junction,,,False,,37.59665417432232,140.27473538138284,PQ,0.0,0.0,0.0,0.0,1.0
68,600.816,145.711,5,substation_or_sw,開閉所,,False,,37.60898315969764,140.10699362653165,PQ,0.0,0.0,0.0,0.0,1.0
69,727.32,235.111,1,generator,発電所,,False,,37.56449695246695,139.85771380296623,PQ,0.0,0.0,5.0,2.4216,1.0
70,525.648,84.727,1,substation_or_sw,開閉所,,False,,37.642799375255265,140.2555202234662,PQ,0.0,0.0,0.0,0.0,1.0
71,657.78,132.406,4,substation_or_sw,開閉所,,False,,37.63924120610112,139.99750904153814,PQ,0.0,0.0,0.0,0.0,1.0
72,425.16,286.861,2,substation_or_sw,開閉所,,False,,37.42167138490396,140.43943582228553,PQ,0.0,0.0,0.0,0.0,1.0
73,384.45,442.681,4,substation_or_sw,開閉所,矢祭,False,,37.262671964944104,140.5101282183962,PQ,0.0,0.0,0.0,0.0,1.0
74,497.7,457.171,0,substation_or_sw,開閉所,,False,,37.284386874623564,140.2903489029059,PQ,0.0,0.0,0.0,0.0,1.0
75,495.76,414.951,3,substation_or_sw,開閉所,,False,,37.32342316129734,140.2962802070015,PQ,0.0,0.0,0.0,0.0,1.0
76,522.0,462.535,3,substation_or_sw,変電所,,False,,37.28692906727564,140.24307456796322,PQ,4.0,1.9373,0.0,0.0,1.0
77,767.64,412.351,1,substation_or_sw,開閉所,,False,,37.41065707718475,139.77058433909156,PQ,0.0,0.0,0.0,0.0,1.0
78,316.32,694.927,3,substation_or_sw,1次変電所,小野新町,False,,37.0045843378895,140.62887516157284,PQ,0.0,0.0,0.0,0.0,1.0
79,266.04,717.151,1,substation_or_sw,開閉所,(360803),False,,36.96803661404261,140.72497217628532,PQ,0.0,0.0,0.0,0.0,1.0
80,543.99,754.741,2,substation_or_sw,開閉所,関森,False,,37.01942830265662,140.18546215055696,PQ,0.0,0.0,0.0,0.0,1.0
81,463.76,720.911,3,substation_or_sw,開閉所,笹川,False,,37.02617029168499,140.34237732805178,PQ,0.0,0.0,0.0,0.0,1.0
82,384.6,676.351,1,substation_or_sw,開閉所,須賀川,False,,37.04332063032403,140.49777691350246,PQ,0.0,0.0,0.0,0.0,1.0
83,543.66,604.891,2,substation_or_sw,1次変電所,白河,False,,37.16002298152176,140.19383510071842,PQ,0.0,0.0,0.0,0.0,1.0
84,542.88,442.231,1,substation_or_sw,変電所,,False,,37.312504918856426,140.20373957999558,PQ,4.0,1.9373,0.0,0.0,1.0
85,573.99,442.321,2,junction,,(361312),False,,37.322122863216016,140.14356657534788,PQ,0.0,0.0,0.0,0.0,1.0
86,583.56,388.651,2,substation_or_sw,開閉所,,False,,37.375499504421164,140.12782794781742,PQ,0.0,0.0,0.0,0.0,1.0
87,571.35,483.981,4,generator,発電所,小名浜,False,,37.28218398349007,140.14652213479337,PQ,0.0,0.0,5.0,2.4216,1.0
88,349.26,667.975,2,substation_or_sw,開閉所,(361107),False,,37.0401633677326,140.56655865154653,PQ,0.0,0.0,0.0,0.0,1.0
89,679.38,139.511,0,substation_or_sw,変電所,,False,,37.63930667006661,139.9553667830222,PQ,4.0,1.9373,0.0,0.0,1.0
90,113.52,330.331,2,substation_or_sw,開閉所,,False,,37.283663519092656,141.0399200385484,PQ,0.0,0.0,0.0,0.0,1.0
91,128.76,362.311,3,substation_or_sw,開閉所,,False,,37.258389747411854,141.00879439385577,PQ,0.0,0.0,0.0,0.0,1.0
92,411.42,727.771,2,substation_or_sw,開閉所,郡山,False,,37.00340571582816,140.44325152388325,PQ,0.0,0.0,0.0,0.0,1.0
93,645.6,491.641,2,generator,発電所,湯本第一,False,,37.29814859135959,140.0025233889308,PQ,0.0,0.0,5.0,2.4216,1.0
94,620.48,512.791,1,substation_or_sw,変電所,北小名浜,False,,37.27045605879451,140.05001509012797,PQ,4.0,1.9373,0.0,0.0,1.0
95,585.891,503.74,1,generator,発電所,北小名浜,False,,37.26816678768146,140.1173791961344,PQ,0.0,0.0,5.0,2.4216,1.0
96,418.32,484.831,1,substation_or_sw,開閉所,塙町,False,,37.233659588221464,140.44244624559366,PQ,0.0,0.0,0.0,0.0,1.0
97,400.95,423.241,2,substation_or_sw,開閉所,矢祭,False,,37.28607057235547,140.47921978185002,PQ,0.0,0.0,0.0,0.0,1.0
98,478.36,187.871,3,substation_or_sw,開閉所,,False,,37.53120714123594,140.34165375782598,PQ,0.0,0.0,0.0,0.0,1.0
99,516.0,168.991,2,junction,,,False,,37.560673000307546,140.26983055584446,PQ,0.0,0.0,0.0,0.0,1.0
100,514.032,288.847,5,substation_or_sw,開閉所,,False,,37.44752368520501,140.26745023867653,PQ,0.0,0.0,0.0,0.0,1.0
101,396.6,162.991,1,junction,,,True,N,37.52906860069103,140.50106606844432,PQ,0.0,0.0,0.0,0.0,1.0
102,184.68,388.171,2,substation_or_sw,開閉所,(361302),False,,37.25154928007486,140.8993074040833,PQ,0.0,0.0,0.0,0.0,1.0
103,184.34,370.691,2,substation_or_sw,開閉所,(361302),False,,37.267855614832634,140.90086723591995,PQ,0.0,0.0,0.0,0.0,1.0
104,165.6,431.791,2,substation_or_sw,開閉所,(361317),False,,37.20464287790325,140.93395761109295,PQ,0.0,0.0,0.0,0.0,1.0
105,152.16,418.351,2,substation_or_sw,開閉所,(361302),False,,37.21307039480256,140.96064499460883,PQ,0.0,0.0,0.0,0.0,1.0
106,761.28,242.311,2,junction,,,False,,37.56832800018104,139.79166175759732,PQ,0.0,0.0,0.0,0.0,1.0
107,361.08,576.551,1,substation_or_sw,変電所,石川,False,,37.12968982433172,140.54841713132913,PQ,4.0,1.9373,0.0,0.0,1.0
108,353.88,528.061,2,substation_or_sw,開閉所,(360913),False,,37.1729726924054,140.56484518382814,PQ,0.0,0.0,0.0,0.0,1.0
109,450.56,475.591,1,substation_or_sw,開閉所,(360915),False,,37.2523901026515,140.38056934286158,PQ,0.0,0.0,0.0,0.0,1.0
110,675.411,169.368,3,substation_or_sw,開閉所,,False,,37.610035414859766,139.96150192564832,PQ,0.0,0.0,0.0,0.0,1.0
111,585.87,167.731,2,substation_or_sw,開閉所,,False,,37.58364678574102,140.13476337596362,PQ,0.0,0.0,0.0,0.0,1.0
112,564.48,188.731,2,junction,,,False,,37.557258387301054,140.17504880548182,PQ,0.0,0.0,0.0,0.0,1.0
113,553.32,211.831,2,junction,,,False,,37.53208873732164,140.1954404881856,PQ,0.0,0.0,0.0,0.0,1.0
114,532.17,251.371,2,substation_or_sw,変電所,,False,,37.488367558289276,140.23430477772004,PQ,4.0,1.9373,0.0,0.0,1.0
115,179.4,152.911,1,generator,発電所,,False,,37.47079358070226,140.92166246600453,PQ,0.0,0.0,5.0,2.4216,1.0
116,211.2,125.311,2,junction,,,False,,37.506625494497264,140.86158422271905,PQ,0.0,0.0,0.0,0.0,1.0
117,248.88,418.291,2,substation_or_sw,開閉所,(361310),False,,37.24329133045317,140.77358657762915,PQ,0.0,0.0,0.0,0.0,1.0
118,229.8,389.611,0,substation_or_sw,変電所,(361310),False,,37.26426905454099,140.81196864816158,PQ,4.0,1.9373,0.0,0.0,1.0
119,304.92,391.561,2,substation_or_sw,変電所,(361308),False,,37.2858662439183,140.66658200648885,PQ,4.0,1.9373,0.0,0.0,1.0
120,181.56,416.895,1,substation_or_sw,変電所,(361302),False,,37.22360660683927,140.90385901786848,PQ,4.0,1.9373,0.0,0.0,1.0
121,115.851,306.305,1,substation_or_sw,開閉所,,False,,37.30694906272061,141.03665189812367,PQ,0.0,0.0,0.0,0.0,1.0
122,116.16,346.351,1,junction,,,False,,37.269445325476354,141.03398724690382,PQ,0.0,0.0,0.0,0.0,1.0
123,62.64,355.651,2,junction,,,False,,37.24402176461025,141.1370176802086,PQ,0.0,0.0,0.0,0.0,1.0
124,335.58,402.631,2,junction,,,False,,37.285034470762454,140.60671257752384,PQ,0.0,0.0,0.0,0.0,1.0
125,304.32,290.431,1,substation_or_sw,開閉所,,False,,37.380632392307895,140.67296240117554,PQ,0.0,0.0,0.0,0.0,1.0
126,340.32,436.351,1,substation_or_sw,変電所,(361306),False,,37.25485228026345,140.595804666839,PQ,4.0,1.9373,0.0,0.0,1.0
127,357.02,421.011,0,substation_or_sw,変電所,矢祭,False,,37.274463678855355,140.56429779276806,PQ,4.0,1.9373,0.0,0.0,1.0
128,323.16,658.351,0,generator,発電所,小野新町,False,,37.0410596107336,140.6175341659079,PQ,0.0,0.0,5.0,2.4216,1.0
129,325.38,642.631,0,substation_or_sw,変電所,(361112),False,,37.05651184250374,140.61405197969438,PQ,4.0,1.9373,0.0,0.0,1.0
