line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
682C,35,64,66,69.356,False,"[[373.8, 704.431], [363.0, 706.951], [360.48, 719.311], [339.36, 726.511], [325.92, 745.591]]",actual,9.7098,0.006687,0.085373,0.00115891,50.0,
L0075,35,82,66,42.864,False,"[[375.24, 700.951], [390.6, 698.671], [390.24, 687.511], [389.52, 678.631], [387.72, 675.151], [384.6, 676.351]]",actual,6.001,0.004133,0.052763,0.00071624,50.0,
L0076,35,92,66,29.047,False,"[[411.24, 729.511], [411.582, 729.457], [411.924, 729.403], [412.266, 729.349], [412.607, 729.295], [412.948, 729.241], [413.289, 729.187], [413.629, 729.133], [413.968, 729.079], [414.307, 729.025], [414.645, 728.971], [414.982, 728.917], [415.318, 728.863], [415.653, 728.809], [415.987, 728.755], [416.319, 728.701], [416.651, 728.647], [416.98, 728.593], [417.309, 728.539], [417.635, 728.485], [417.96, 728.431], [419.16, 707.311], [419.28, 706.231]]",actual,4.0666,0.002801,0.035755,0.00048536,50.0,
L0077,35,81,66,64.584,False,"[[463.44, 720.991], [447.6, 717.151], [441.96, 708.151], [419.4, 706.711], [418.464, 706.637], [417.532, 706.561], [416.605, 706.482], [415.686, 706.401], [414.778, 706.319], [413.884, 706.237], [413.007, 706.155], [412.15, 706.074], [411.315, 705.994], [410.505, 705.916], [409.723, 705.841], [408.972, 705.769], [408.254, 705.702], [407.572, 705.639], [406.929, 705.581], [406.329, 705.529], [405.773, 705.483], [405.264, 705.444], [404.805, 705.414], [404.4, 705.391]]",actual,9.0418,0.006227,0.079499,0.00107917,50.0,
L0078,37,38,66,132.679,False,"[[408.6, 301.471], [420.24, 303.511], [425.16, 317.311], [429.0, 371.551], [428.52, 405.391], [431.4, 423.151]]",actual,18.5751,0.012793,0.163321,0.00221702,50.0,
L0079,37,72,66,27.31,False,"[[410.04, 299.431], [419.04, 291.391], [428.88, 279.751]]",actual,3.8234,0.002633,0.033617,0.00045634,50.0,
L0080,37,51,66,140.349,False,"[[407.52, 300.871], [405.36, 343.351], [420.72, 388.471], [440.52, 399.391], [447.84, 417.031], [445.68, 425.191]]",actual,19.6489,0.013532,0.172762,0.00234518,50.0,
L0081,39,119,66,23.074,False,"[[302.16, 386.191], [314.4, 366.631]]",actual,3.2304,0.002225,0.028403,0.00038556,50.0,
L0082,39,124,66,48.892,False,"[[332.04, 399.631], [336.72, 388.351], [336.583, 387.142], [336.426, 385.888], [336.249, 384.587], [336.053, 383.234], [335.839, 381.828], [335.608, 380.365], [335.36, 378.841], [335.098, 377.254], [334.821, 375.6], [334.53, 373.876], [334.227, 372.08], [333.912, 370.207], [333.586, 368.255], [333.251, 366.221], [332.906, 364.102], [332.554, 361.894], [332.194, 359.594], [331.828, 357.199], [331.456, 354.706], [331.08, 352.111]]",actual,6.8449,0.004714,0.060183,0.00081697,50.0,
L0083,39,125,66,68.611,False,"[[331.08, 352.111], [323.28, 334.111], [319.92, 320.311], [312.6, 306.271], [306.6, 301.471], [304.32, 290.431]]",actual,9.6055,0.006615,0.084456,0.00114646,50.0,
L0084,39,373,33,52.716,False,"[[313.56, 364.231], [309.84, 359.071], [309.96, 350.911], [311.054, 349.921], [312.108, 348.966], [313.125, 348.04], [314.111, 347.141], [315.069, 346.265], [316.005, 345.408], [316.922, 344.565], [317.824, 343.734], [318.717, 342.911], [319.605, 342.091], [320.492, 341.272], [321.382, 340.448], [322.28, 339.617], [323.191, 338.775], [324.118, 337.917], [325.067, 337.041], [326.041, 336.142], [327.045, 335.217], [328.083, 334.261], [329.16, 333.271], [329.161, 332.891], [329.163, 332.439], [329.167, 331.924], [329.172, 331.354], [329.179, 330.736], [329.186, 330.079], [329.194, 329.39], [329.202, 328.677], [329.211, 327.948], [329.22, 327.211], [329.229, 326.475], [329.238, 325.746], [329.246, 325.033], [329.254, 324.344], [329.261, 323.686], [329.268, 323.068], [329.273, 322.498], [329.277, 321.983], [329.279, 321.531], [329.28, 321.151]]",actual,7.3802,0.038426,0.264306,0.00024111,20.0,
L0085,40,41,66,47.564,False,"[[301.32, 406.111], [291.96, 389.671], [302.16, 389.071], [313.68, 393.391], [317.16, 398.431]]",actual,6.659,0.004586,0.058549,0.00079478,50.0,
L0086,40,117,66,69.839,False,"[[299.04, 407.071], [289.08, 389.791], [284.64, 390.271], [278.64, 401.071], [270.96, 405.151], [261.84, 412.231], [250.2, 417.631]]",actual,9.7775,0.006734,0.085968,0.00116698,50.0,
L0087,40,119,66,20.628,False,"[[301.68, 407.431], [310.08, 388.591]]",actual,2.8879,0.001989,0.025392,0.00034469,50.0,
L0088,41,56,66,41.153,False,"[[322.2, 393.631], [283.56, 379.471]]",actual,5.7614,0.003968,0.050657,0.00068765,50.0,
L0089,41,73,66,97.621,False,"[[383.16, 442.351], [361.44, 421.831], [324.6, 394.471], [322.2, 416.191]]",actual,13.6669,0.009412,0.120166,0.00163121,50.0,
L0090,42,43,66,21.66,False,"[[613.68, 170.311], [620.04, 161.191], [629.76, 157.111]]",actual,3.0324,0.002088,0.026662,0.00036193,50.0,
L0091,43,68,66,43.752,False,"[[629.4, 157.231], [624.12, 154.471], [623.88, 139.351], [601.92, 144.991]]",actual,6.1253,0.004219,0.053856,0.00073108,50.0,
L0092,43,153,66,26.263,False,"[[637.32, 169.831], [624.36, 167.431], [624.12, 154.351]]",actual,3.6768,0.002532,0.032328,0.00043884,50.0,
L0093,43,375,33,40.081,False,"[[630.48, 199.831], [630.24, 159.751]]",actual,5.6113,0.029216,0.200957,0.00018332,20.0,
L0094,46,47,66,10.026,False,"[[454.32, 89.071], [461.04, 96.511]]",actual,1.4036,0.000967,0.012341,0.00016753,50.0,
L0095,46,70,66,57.166,False,"[[521.64, 83.311], [483.36, 84.991], [464.52, 84.391]]",actual,8.0032,0.005512,0.070368,0.00095522,50.0,
L0096,46,348,66,100.254,False,"[[460.44, 83.551], [441.72, 98.911], [386.4, 93.991], [370.92, 80.551]]",actual,14.0356,0.009666,0.123407,0.00167521,50.0,
691L,48,189,66,10.36,False,"[[403.92, 520.231], [407.16, 530.071]]",actual,1.4504,0.000999,0.012753,0.00017311,50.0,
L0097,49,50,66,27.377,False,"[[138.6, 105.991], [144.96, 104.671], [144.72, 125.551]]",actual,3.8328,0.00264,0.0337,0.00045746,50.0,
L0098,50,115,66,44.804,False,"[[179.4, 152.911], [179.165, 152.947], [178.929, 152.983], [178.691, 153.019], [178.452, 153.055], [178.211, 153.091], [177.97, 153.127], [177.728, 153.163], [177.486, 153.199], [177.243, 153.235], [177.0, 153.271], [176.757, 153.307], [176.514, 153.343], [176.272, 153.379], [176.03, 153.415], [175.789, 153.451], [175.548, 153.487], [175.309, 153.523], [175.071, 153.559], [174.835, 153.595], [174.6, 153.631], [147.12, 134.551], [144.36, 128.671]]",actual,6.2726,0.00432,0.055151,0.00074866,50.0,
L0099,51,97,66,41.114,False,"[[402.48, 417.391], [442.8, 425.431]]",actual,5.756,0.003964,0.050609,0.000687,50.0,
L0100,51,100,66,161.461,False,"[[516.48, 288.991], [484.56, 360.391], [474.6, 410.551], [446.4, 425.911]]",actual,22.6045,0.015568,0.19875,0.00269795,50.0,
L0101,52,53,66,24.764,False,"[[181.44, 452.071], [180.917, 452.95], [180.424, 453.791], [179.959, 454.596], [179.517, 455.372], [179.096, 456.121], [178.692, 456.849], [178.302, 457.56], [177.923, 458.257], [177.55, 458.946], [177.18, 459.631], [176.81, 460.316], [176.437, 461.005], [176.058, 461.703], [175.668, 462.413], [175.264, 463.141], [174.843, 463.891], [174.401, 464.666], [173.936, 465.472], [173.443, 466.312], [172.92, 467.191], [172.569, 466.883], [172.234, 466.604], [171.913, 466.35], [171.605, 466.12], [171.307, 465.909], [171.019, 465.714], [170.738, 465.532], [170.462, 465.36], [170.19, 465.194], [169.92, 465.031], [169.65, 464.869], [169.378, 464.703], [169.102, 464.531], [168.821, 464.349], [168.532, 464.154], [168.235, 463.943], [167.927, 463.712], [167.606, 463.459], [167.271, 463.18], [166.92, 462.871]]",actual,3.467,0.002388,0.030483,0.0004138,50.0,
L0102,52,191,66,23.289,False,"[[193.08, 484.831], [193.32, 475.111], [189.72, 462.031]]",actual,3.2605,0.002245,0.028667,0.00038915,50.0,
L0103,53,63,66,93.994,False,"[[166.32, 463.951], [172.08, 470.551], [148.32, 531.871], [136.2, 547.111]]",actual,13.1592,0.009063,0.115702,0.0015706,50.0,
L0104,54,55,66,16.208,False,"[[250.8, 366.991], [243.36, 381.391]]",actual,2.2691,0.001563,0.019951,0.00027083,50.0,
L0105,54,56,66,35.792,False,"[[283.56, 379.471], [249.84, 367.471]]",actual,5.0109,0.003451,0.044058,0.00059807,50.0,
L0106,55,117,66,29.88,False,"[[247.56, 418.951], [247.56, 389.071]]",actual,4.1832,0.002881,0.036781,0.00049928,50.0,
L0107,58,59,66,21.311,False,"[[168.48, 353.071], [182.04, 336.631]]",actual,2.9835,0.002055,0.026233,0.0003561,50.0,
L0108,59,62,66,56.686,False,"[[237.6, 341.671], [223.56, 336.991], [181.68, 336.271]]",actual,7.936,0.005466,0.069777,0.0009472,50.0,
L0109,59,158,66,13.159,False,"[[182.04, 336.271], [173.04, 326.671]]",actual,1.8423,0.001269,0.016198,0.00021988,50.0,
691F,60,61,66,15.791,False,"[[521.76, 493.471], [518.64, 508.951]]",actual,2.2107,0.001523,0.019438,0.00026386,50.0,
L0110,60,76,66,28.175,False,"[[529.2, 464.311], [522.0, 491.551]]",actual,3.9445,0.002717,0.034682,0.00047079,50.0,
L0111,65,66,66,35.912,False,"[[251.4, 708.031], [255.84, 698.071], [279.6, 705.871]]",actual,5.0277,0.003463,0.044206,0.00060008,50.0,
685F,65,156,66,17.999,False,"[[255.72, 697.831], [245.52, 698.911], [243.0, 706.231]]",actual,2.5199,0.001735,0.022156,0.00030076,50.0,
L0112,67,68,66,162.757,False,"[[514.44, 129.751], [514.2, 96.271], [520.2, 92.551], [521.599, 92.61], [523.192, 92.712], [524.962, 92.854], [526.888, 93.031], [528.954, 93.241], [531.141, 93.48], [533.431, 93.744], [535.806, 94.03], [538.246, 94.333], [540.735, 94.651], [543.253, 94.98], [545.783, 95.316], [548.306, 95.656], [550.804, 95.995], [553.258, 96.331], [555.651, 96.66], [557.964, 96.978], [560.178, 97.282], [562.277, 97.567], [564.24, 97.831], [568.2, 94.831], [572.64, 98.911], [596.04, 103.231], [594.48, 120.391], [598.92, 145.831]]",actual,22.786,0.015693,0.200345,0.00271961,50.0,
L0113,67,99,66,38.187,False,"[[516.0, 168.751], [514.56, 130.591]]",actual,5.3462,0.003682,0.047006,0.00063809,50.0,
