bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
105,434.76,628.92,1,generator,発電所,（340805）,False,
106,456.96,638.16,1,substation_or_sw,開閉所,新浜,False,
107,437.88,597.48,1,substation_or_sw,変電所,（340804）,False,
108,450.84,607.44,1,junction,,松島,False,
109,397.8,572.52,1,substation_or_sw,変電所,松坂,False,
110,322.74,1068.061,2,generator,発電所,（340307）,False,
111,233.4,892.26,0,generator,発電所,（340206）,False,
112,297.9,914.82,2,substation_or_sw,変電所,船岡,False,
113,306.0,924.6,1,substation_or_sw,変電所,船岡,False,
114,546.36,481.92,1,junction,,（341208）,False,
115,616.62,483.24,2,substation_or_sw,開閉所,飯野川,False,
116,355.74,360.48,2,substation_or_sw,変電所,（341019）,False,
117,381.48,366.48,2,junction,,（341019）,False,
118,396.84,371.28,1,junction,,高清水,False,
119,385.8,218.22,2,substation_or_sw,1次変電所,岩ヶ崎,False,
120,412.8,303.6,1,junction,,築館,False,
121,388.98,251.94,2,generator,発電所,（341004）,False,
122,321.6,894.72,1,substation_or_sw,変電所,船岡,False,
123,229.8,438.0,2,substation_or_sw,1次変電所,宮崎,False,
124,217.52,439.0,3,substation_or_sw,1次変電所,宮崎,False,
125,361.36,920.04,1,substation_or_sw,変電所,（340210,False,
126,357.24,933.6,1,substation_or_sw,変電所,亘理,False,
127,331.74,935.4,0,substation_or_sw,変電所,船岡,False,
128,437.88,342.96,1,generator,発電所,（341012）,False,
129,200.04,253.2,1,substation_or_sw,開閉所,鬼首,False,
130,227.04,260.28,1,junction,,（341014）,False,
131,316.848,247.764,2,generator,発電所,（341017）,False,
132,662.64,466.44,1,substation_or_sw,開閉所,釜谷,False,
133,531.72,533.52,1,junction,,西石巻,False,
134,479.16,545.76,1,substation_or_sw,変電所,鹿島台,False,
135,484.68,535.32,1,junction,,鹿島台,False,
136,504.72,564.72,1,junction,,（341206）,False,
137,515.76,584.28,1,substation_or_sw,開閉所,小野,False,
138,487.32,601.2,1,substation_or_sw,変電所,松島,False,
139,401.58,689.7,2,substation_or_sw,1次変電所,大日,False,
140,378.72,630.24,2,substation_or_sw,変電所,利府,False,
141,387.96,616.32,1,substation_or_sw,開閉所,利府,False,
142,451.68,426.24,1,substation_or_sw,変電所,小牛田,False,
143,393.48,424.44,1,substation_or_sw,開閉所,北古川,False,
144,348.6,462.24,1,junction,,陸前大幡,False,
145,370.44,479.88,1,substation_or_sw,変電所,（341104,False,
146,632.52,560.76,1,substation_or_sw,開閉所,石巻湊,False,
147,649.96,540.76,1,generator,発電所,（341211）,False,
148,648.96,556.68,1,substation_or_sw,開閉所,渡波,False,
