bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
109,450.56,475.591,1,substation_or_sw,開閉所,(360915),False,
110,675.411,169.368,3,substation_or_sw,開閉所,,False,
111,585.87,167.731,2,substation_or_sw,開閉所,,False,
112,564.48,188.731,2,junction,,,False,
113,553.32,211.831,2,junction,,,False,
114,532.17,251.371,2,substation_or_sw,変電所,,False,
115,179.4,152.911,1,generator,発電所,,False,
116,211.2,125.311,2,junction,,,False,
117,248.88,418.291,2,substation_or_sw,開閉所,(361310),False,
118,229.8,389.611,0,substation_or_sw,変電所,(361310),False,
119,304.92,391.561,2,substation_or_sw,変電所,(361308),False,
120,181.56,416.895,1,substation_or_sw,変電所,(361302),False,
121,115.851,306.305,1,substation_or_sw,開閉所,,False,
122,116.16,346.351,1,junction,,,False,
123,62.64,355.651,2,junction,,,False,
124,335.58,402.631,2,junction,,,False,
125,304.32,290.431,1,substation_or_sw,開閉所,,False,
126,340.32,436.351,1,substation_or_sw,変電所,(361306),False,
127,357.02,421.011,0,substation_or_sw,変電所,矢祭,False,
128,323.16,658.351,0,generator,発電所,小野新町,False,
129,325.38,642.631,0,substation_or_sw,変電所,(361112),False,
130,325.5,621.331,2,generator,発電所,(361112),False,
131,536.004,391.843,2,generator,発電所,,False,
132,511.86,414.511,2,junction,,,False,
133,619.2,84.391,1,substation_or_sw,開閉所,,False,
134,706.44,135.751,1,substation_or_sw,開閉所,,False,
135,589.74,803.731,0,substation_or_sw,変電所,(360701),False,
136,472.68,731.791,1,substation_or_sw,開閉所,笹川,False,
137,446.4,724.711,1,junction,,諏訪,False,
138,444.6,712.351,1,junction,,森宿,False,
139,660.88,457.191,1,substation_or_sw,変電所,泉町,False,
140,368.52,460.711,3,substation_or_sw,開閉所,塙町,False,
141,347.28,448.351,1,generator,発電所,(361306),False,
142,356.52,467.431,2,substation_or_sw,変電所,(361306),False,
143,402.9,481.111,0,substation_or_sw,変電所,塙町,False,
144,307.68,639.991,1,substation_or_sw,1次変電所,小野新町,False,
145,460.56,445.891,0,substation_or_sw,開閉所,(360915),False,
146,399.634,353.397,1,substation_or_sw,開閉所,,False,
147,358.48,546.551,1,junction,,(360908),False,
148,263.1,406.151,2,generator,発電所,(361310),False,
149,270.12,389.851,2,substation_or_sw,開閉所,(361310),False,
150,262.56,375.031,0,substation_or_sw,変電所,,False,
151,652.56,146.431,1,substation_or_sw,開閉所,,False,
