bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
106,651.36,740.4,1,substation_or_sw,開閉所,松波,False,
107,624.78,682.44,2,substation_or_sw,変電所,宮町,False,
108,590.88,651.84,1,junction,,長崎,False,
109,709.8,574.92,1,substation_or_sw,変電所,東根,False,
110,451.2,175.32,1,junction,,(350702),False,
111,451.2,163.92,1,generator,発電所,(350702),False,
112,328.56,347.16,1,substation_or_sw,変電所,北鶴岡,False,
113,306.6,361.56,1,substation_or_sw,変電所,西鶴岡,False,
114,326.16,502.68,1,generator,発電所,(351004),False,
115,408.36,553.08,1,generator,発電所,(350909),False,
116,419.88,548.4,1,junction,,(350909),False,
117,395.16,526.32,1,substation_or_sw,変電所,(350902),False,
118,407.52,522.84,1,substation_or_sw,変電所,(350902),False,
119,502.17,950.46,0,junction,,花沢,False,
120,490.8,1006.161,1,generator,発電所,米沢,False,
121,480.24,1014.121,1,substation_or_sw,変電所,(350604),False,
122,606.0,1066.921,1,junction,,板谷,False,
123,587.88,1051.241,1,substation_or_sw,開閉所,大沢(開),False,
124,564.72,1060.201,1,substation_or_sw,変電所,大沢(開),False,
125,573.36,1039.681,1,substation_or_sw,開閉所,大沢(開),False,
126,526.62,842.4,0,substation_or_sw,開閉所,宮内,False,
127,424.32,824.58,0,substation_or_sw,変電所,長井,False,
128,571.08,569.04,1,junction,,寒河江,False,
129,604.68,569.16,1,substation_or_sw,開閉所,谷地,False,
130,486.48,564.84,1,generator,発電所,(350202),False,
131,485.76,579.0,1,junction,,(350203),False,
132,591.24,620.52,0,substation_or_sw,開閉所,栄町通,False,
133,554.7,712.2,0,substation_or_sw,開閉所,古館,False,
134,615.16,708.36,1,substation_or_sw,変電所,あかねヶ丘,False,
135,619.8,663.9,0,substation_or_sw,変電所,天童,False,
136,658.2,648.24,1,substation_or_sw,変電所,天童,False,
137,624.12,602.64,1,junction,,栄町通,False,
138,639.36,606.72,1,substation_or_sw,開閉所,久野本,False,
139,586.32,789.54,0,substation_or_sw,変電所,谷柏,False,
140,633.3,625.08,0,substation_or_sw,変電所,天童,False,
141,372.72,179.16,1,generator,発電所,(350705),False,
142,358.2,179.16,1,substation_or_sw,開閉所,(350705),False,
143,315.576,231.168,1,substation_or_sw,変電所,北酒田,False,
144,333.12,216.84,1,generator,発電所,(350804),False,
145,345.48,216.84,1,junction,,東酒田,False,
146,322.2,203.28,1,generator,発電所,(350804),False,
147,344.16,235.08,1,junction,,酒田,False,
148,342.72,246.72,1,junction,,南酒田,True,N
149,328.08,246.96,1,substation_or_sw,開閉所,南酒田,False,
150,406.96,172.08,1,junction,,(350711),False,
151,565.98,355.86,0,generator,発電所,(350107),False,
152,481.44,984.841,2,substation_or_sw,開閉所,松岬,False,
153,360.6,160.44,1,junction,,(350706),False,
154,438.54,930.36,0,generator,発電所,(350502),False,
155,577.8,1062.601,1,generator,発電所,大沢(開),False,
156,411.48,377.4,2,junction,,(350911),False,
157,410.76,387.84,1,generator,発電所,(350911),False,
158,394.32,381.12,1,generator,発電所,(350912),False,
159,390.72,160.2,1,generator,発電所,(350707),False,
160,289.44,283.32,1,generator,発電所,(350708),False,
161,403.32,273.72,1,substation_or_sw,開閉所,楢橋,False,
162,376.92,298.14,2,substation_or_sw,1次変電所,余目,False,
163,370.92,348.24,1,junction,,庄内,False,
164,617.92,764.44,1,substation_or_sw,開閉所,谷柏,False,
165,600.84,706.56,0,substation_or_sw,開閉所,あかねヶ丘,False,
166,454.2,768.0,1,substation_or_sw,開閉所,鮎貝,False,
167,466.08,991.441,1,generator,発電所,松岬,False,
168,414.96,159.6,1,generator,発電所,(350710),False,
169,349.56,157.32,1,generator,発電所,(350805),False,
170,580.8,306.24,1,substation_or_sw,1次変電所,真室川,False,
171,595.2,295.68,1,substation_or_sw,1次変電所,真室川,False,
172,424.38,329.34,2,substation_or_sw,開閉所,狩川,False,
173,411.84,333.48,1,generator,発電所,藤島,False,
174,237.84,1116.961,0,junction,,〇〇〇〇,False,
175,509.12,589.48,1,generator,発電所,(350203),False,
176,519.0,615.06,1,substation_or_sw,変電所,(350203),False,
177,591.6,390.72,3,junction,,(350107),False,
178,612.84,382.44,1,substation_or_sw,1次変電所,鳥越,False,
179,513.41,630.18,0,substation_or_sw,変電所,(350203),False,
180,217.4,405.45,0,generator,発電所,(350901),False,
181,488.497,363.122,3,junction,,戸沢,False,
182,480.9,350.34,1,substation_or_sw,変電所,戸沢,False,
183,702.35,481.14,0,generator,発電所,(350105),False,
184,509.63,214.2,0,generator,発電所,(350104),False,
185,330.79,465.534,3,junction,,(350906),False,
186,344.28,481.86,1,generator,発電所,(350906),False,
187,362.75,947.581,0,generator,発電所,(350501),False,
188,154.62,135.48,0,generator,発電所,,False,
189,314.46,479.58,1,generator,発電所,,False,
190,511.14,461.1,0,generator,発電所,,False,
191,517.2,431.4,0,generator,発電所,,False,
192,331.56,226.86,1,generator,発電所,,False,
193,289.26,274.74,1,generator,発電所,,False,
194,321.3,193.2,1,generator,発電所,,False,
