line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
551C,8,9,66,116.577,False,"[[492.12, 848.28], [492.264, 848.677], [492.408, 849.075], [492.552, 849.475], [492.695, 849.877], [492.838, 850.279], [492.981, 850.682], [493.123, 851.086], [493.264, 851.49], [493.405, 851.895], [493.545, 852.3], [493.684, 852.705], [493.822, 853.11], [493.959, 853.514], [494.095, 853.918], [494.229, 854.321], [494.363, 854.724], [494.494, 855.125], [494.624, 855.525], [494.753, 855.923], [494.88, 856.32], [494.989, 856.554], [495.099, 856.788], [495.211, 857.022], [495.324, 857.255], [495.439, 857.488], [495.554, 857.721], [495.67, 857.953], [495.786, 858.184], [495.903, 858.415], [496.02, 858.645], [496.137, 858.874], [496.254, 859.102], [496.37, 859.329], [496.486, 859.555], [496.601, 859.779], [496.716, 860.003], [496.829, 860.224], [496.941, 860.445], [497.051, 860.663], [497.16, 860.88], [519.12, 850.56], [536.28, 832.32], [548.16, 828.36], [558.96, 818.76], [569.16, 817.2], [580.92, 805.8]]",actual
551D,9,56,66,64.829,False,"[[579.36, 805.2], [586.68, 807.84], [597.6, 807.24], [606.72, 810.24], [617.64, 810.36], [629.64, 805.56], [642.12, 803.4]]",actual
L0012,9,28,66,84.916,False,"[[578.88, 718.68], [575.4, 729.0], [575.4, 729.504], [575.4, 730.008], [575.4, 730.512], [575.4, 731.016], [575.4, 731.52], [575.4, 732.024], [575.4, 732.528], [575.4, 733.032], [575.4, 733.536], [575.4, 734.04], [575.4, 734.544], [575.4, 735.048], [575.4, 735.552], [575.4, 736.056], [575.4, 736.56], [575.4, 737.064], [575.4, 737.568], [575.4, 738.072], [575.4, 738.576], [575.4, 739.08], [580.68, 767.52], [582.24, 782.88], [582.48, 796.08], [581.16, 802.32]]",actual
L0013,10,11,66,77.177,False,"[[507.24, 968.521], [512.16, 972.001], [522.96, 1017.601], [500.04, 1025.641]]",actual
L0014,10,11,66,67.104,False,"[[502.2, 967.081], [506.16, 973.441], [515.64, 1014.361], [498.96, 1020.001]]",actual
L0015,10,59,66,33.484,False,"[[499.32, 935.28], [505.44, 958.081], [504.6, 967.921]]",actual
L0016,11,152,66,59.362,False,"[[479.16, 980.881], [485.4, 993.361], [498.48, 992.521], [494.52, 1008.961], [490.56, 1011.841], [494.52, 1021.561]]",actual
L0017,12,13,66,104.67,False,"[[450.12, 570.84], [459.12, 572.4], [461.34, 572.991], [463.941, 573.644], [466.88, 574.351], [470.113, 575.106], [473.599, 575.903], [477.294, 576.733], [481.157, 577.591], [485.144, 578.469], [489.212, 579.361], [493.32, 580.26], [497.424, 581.159], [501.482, 582.051], [505.451, 582.929], [509.288, 583.787], [512.951, 584.618], [516.397, 585.414], [519.584, 586.169], [522.468, 586.876], [525.008, 587.529], [527.16, 588.12], [541.32, 584.88], [541.302, 585.438], [541.284, 585.996], [541.266, 586.554], [541.247, 587.112], [541.228, 587.67], [541.209, 588.228], [541.189, 588.786], [541.168, 589.344], [541.147, 589.902], [541.125, 590.46], [541.102, 591.018], [541.078, 591.576], [541.053, 592.134], [541.027, 592.692], [540.999, 593.25], [540.971, 593.808], [540.94, 594.366], [540.908, 594.924], [540.875, 595.482], [540.84, 596.04]]",actual
5205,12,45,66,124.333,False,"[[369.12, 487.08], [384.36, 487.08], [388.56, 495.96], [401.16, 508.56], [409.56, 529.32], [419.4, 548.64], [427.8, 555.36], [428.35, 555.72], [429.02, 556.145], [429.797, 556.63], [430.666, 557.165], [431.614, 557.743], [432.628, 558.357], [433.694, 558.999], [434.798, 559.661], [435.928, 560.335], [437.07, 561.015], [438.21, 561.692], [439.334, 562.358], [440.43, 563.007], [441.484, 563.63], [442.481, 564.219], [443.41, 564.768], [444.255, 565.268], [445.004, 565.712], [445.644, 566.092], [446.16, 566.4], [446.205, 566.684], [446.234, 566.959], [446.249, 567.228], [446.25, 567.49], [446.241, 567.746], [446.222, 567.998], [446.195, 568.247], [446.162, 568.493], [446.125, 568.737], [446.085, 568.98], [446.044, 569.223], [446.004, 569.467], [445.967, 569.713], [445.934, 569.962], [445.907, 570.214], [445.887, 570.47], [445.877, 570.732], [445.878, 571.001], [445.892, 571.276], [445.92, 571.56]]",actual
L0018,13,29,66,41.751,False,"[[542.04, 598.92], [547.92, 597.12], [548.674, 597.474], [549.526, 597.918], [550.466, 598.442], [551.483, 599.038], [552.566, 599.696], [553.707, 600.408], [554.893, 601.163], [556.116, 601.953], [557.365, 602.768], [558.63, 603.6], [559.9, 604.439], [561.165, 605.276], [562.415, 606.102], [563.64, 606.908], [564.829, 607.684], [565.972, 608.421], [567.059, 609.111], [568.079, 609.743], [569.023, 610.309], [569.88, 610.8], [578.52, 606.36]]",actual
522J,13,33,66,93.75,False,"[[584.28, 531.48], [573.96, 528.6], [571.08, 535.2], [569.4, 544.68], [572.16, 559.44], [570.12, 575.64], [549.84, 582.24], [544.32, 594.6]]",actual
