line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,region,is_transformer
L0034,20032,20033,66,118.584,False,"[[281.64, 248.16], [293.52, 252.36], [293.629, 252.575], [293.739, 252.789], [293.851, 253.0], [293.964, 253.211], [294.079, 253.419], [294.194, 253.627], [294.31, 253.833], [294.426, 254.038], [294.543, 254.242], [294.66, 254.445], [294.777, 254.647], [294.894, 254.848], [295.01, 255.049], [295.126, 255.249], [295.241, 255.448], [295.356, 255.647], [295.469, 255.846], [295.581, 256.044], [295.691, 256.242], [295.8, 256.44], [327.36, 242.4], [360.24, 242.52], [365.4, 258.48], [365.917, 258.071], [366.493, 257.638], [367.121, 257.183], [367.794, 256.71], [368.507, 256.221], [369.252, 255.718], [370.024, 255.206], [370.816, 254.686], [371.622, 254.162], [372.435, 253.635], [373.249, 253.109], [374.057, 252.588], [374.854, 252.072], [375.632, 251.566], [376.386, 251.072], [377.108, 250.593], [377.793, 250.131], [378.435, 249.69], [379.026, 249.272], [379.56, 248.88]]",actual,22.531,0.015517,0.198103,0.00268917,50.0,03,
L0035,20032,20069,66,85.504,False,"[[248.4, 193.68], [257.4, 200.04], [264.12, 216.0], [275.64, 220.8], [284.16, 231.72], [291.96, 240.48], [292.8, 249.72], [283.44, 246.72]]",actual,16.2458,0.011189,0.14284,0.001939,50.0,03,
321H,20033,20075,66,76.893,False,"[[376.56, 247.32], [366.6, 251.52], [366.473, 251.008], [366.345, 250.513], [366.215, 250.034], [366.084, 249.569], [365.951, 249.116], [365.818, 248.673], [365.684, 248.238], [365.55, 247.809], [365.415, 247.383], [365.28, 246.96], [365.145, 246.537], [365.01, 246.111], [364.876, 245.682], [364.742, 245.247], [364.609, 244.804], [364.476, 244.351], [364.345, 243.886], [364.215, 243.407], [364.087, 242.912], [363.96, 242.4], [388.92, 241.68], [406.92, 230.76], [416.76, 226.92]]",actual,14.6097,0.010062,0.128455,0.00174373,50.0,03,
383A,20035,20066,66,40.085,False,"[[469.56, 814.44], [476.16, 822.96], [491.52, 831.96], [497.28, 841.92]]",actual,7.6162,0.005245,0.066965,0.00090902,50.0,03,
L0036,20036,20037,66,15.612,False,"[[417.0, 605.16], [417.004, 605.772], [417.017, 606.485], [417.036, 607.283], [417.062, 608.153], [417.094, 609.083], [417.13, 610.057], [417.169, 611.062], [417.211, 612.085], [417.255, 613.113], [417.3, 614.13], [417.345, 615.124], [417.389, 616.081], [417.431, 616.987], [417.47, 617.829], [417.506, 618.593], [417.538, 619.264], [417.564, 619.831], [417.583, 620.278], [417.596, 620.592], [417.6, 620.76]]",actual,2.9663,0.002043,0.026081,0.00035404,50.0,03,
311A,20038,20039,66,94.849,False,"[[544.8, 195.24], [550.8, 207.12], [563.4, 210.36], [560.04, 228.48], [558.36, 242.64], [557.76, 264.0], [546.72, 273.36]]",actual,18.0213,0.012411,0.158452,0.00215092,50.0,03,
312A,20039,20056,66,113.543,False,"[[549.12, 274.56], [564.84, 267.84], [576.36, 271.2], [595.2, 270.96], [639.36, 240.36], [651.24, 240.36]]",actual,21.5732,0.014858,0.189681,0.00257485,50.0,03,
313G,20041,20042,66,44.473,False,"[[451.56, 170.4], [449.76, 178.44], [451.08, 185.16], [455.88, 190.2], [459.72, 203.64], [460.008, 204.27], [460.261, 204.834], [460.484, 205.337], [460.679, 205.788], [460.851, 206.192], [461.002, 206.557], [461.137, 206.89], [461.258, 207.198], [461.37, 207.487], [461.475, 207.765], [461.578, 208.038], [461.681, 208.314], [461.789, 208.599], [461.905, 208.901], [462.032, 209.226], [462.174, 209.58], [462.334, 209.972], [462.516, 210.408], [462.724, 210.895], [462.96, 211.44]]",actual,8.4499,0.005819,0.074295,0.00100853,50.0,03,
L0037,20043,20044,66,26.413,False,"[[646.68, 362.52], [671.64, 371.16]]",actual,5.0185,0.003456,0.044125,0.00059898,50.0,03,
L0038,20045,20046,66,46.071,False,"[[476.88, 392.4], [504.36, 378.96], [519.84, 378.96]]",actual,8.7535,0.006029,0.076965,0.00104477,50.0,03,
362F,20047,20048,66,54.572,False,"[[567.36, 479.4], [567.396, 479.599], [567.432, 479.799], [567.468, 480.001], [567.504, 480.205], [567.54, 480.409], [567.576, 480.614], [567.612, 480.82], [567.648, 481.026], [567.684, 481.233], [567.72, 481.44], [567.756, 481.647], [567.792, 481.854], [567.828, 482.06], [567.864, 482.266], [567.9, 482.471], [567.936, 482.676], [567.972, 482.879], [568.008, 483.081], [568.044, 483.281], [568.08, 483.48], [597.0, 505.68], [604.08, 507.48], [604.153, 507.156], [604.227, 506.832], [604.303, 506.508], [604.38, 506.184], [604.459, 505.86], [604.538, 505.536], [604.618, 505.212], [604.698, 504.888], [604.779, 504.564], [604.86, 504.24], [604.941, 503.916], [605.022, 503.592], [605.102, 503.268], [605.182, 502.944], [605.261, 502.62], [605.34, 502.296], [605.417, 501.972], [605.493, 501.648], [605.567, 501.324], [605.64, 501.0]]",actual,10.3687,0.007141,0.091166,0.00123755,50.0,03,
362J,20047,20049,66,45.129,False,"[[573.96, 471.48], [581.52, 471.36], [581.852, 471.096], [582.167, 470.809], [582.467, 470.498], [582.755, 470.162], [583.031, 469.802], [583.3, 469.417], [583.563, 469.007], [583.822, 468.572], [584.08, 468.112], [584.34, 467.625], [584.603, 467.112], [584.872, 466.573], [585.15, 466.008], [585.438, 465.415], [585.739, 464.796], [586.055, 464.148], [586.389, 463.474], [586.743, 462.771], [587.119, 462.04], [587.52, 461.28], [586.8, 453.0], [594.84, 445.92], [594.858, 445.579], [594.876, 445.239], [594.894, 444.901], [594.911, 444.565], [594.928, 444.229], [594.945, 443.894], [594.961, 443.56], [594.976, 443.226], [594.991, 442.893], [595.005, 442.56], [595.018, 442.227], [595.03, 441.894], [595.041, 441.56], [595.051, 441.226], [595.059, 440.891], [595.067, 440.556], [595.072, 440.219], [595.077, 439.881], [595.079, 439.541], [595.08, 439.2]]",actual,8.5745,0.005905,0.075391,0.00102341,50.0,03,
L0039,20047,20074,66,160.055,False,"[[476.16, 371.16], [476.196, 372.907], [476.232, 374.655], [476.268, 376.405], [476.304, 378.156], [476.34, 379.909], [476.376, 381.662], [476.412, 383.416], [476.448, 385.17], [476.484, 386.925], [476.52, 388.68], [476.556, 390.435], [476.592, 392.19], [476.628, 393.944], [476.664, 395.698], [476.7, 397.451], [476.736, 399.204], [476.772, 400.955], [476.808, 402.705], [476.844, 404.453], [476.88, 406.2], [494.64, 441.0], [505.08, 449.04], [521.52, 453.6], [531.12, 459.6], [540.72, 468.48], [547.32, 473.04], [560.88, 480.6], [568.08, 477.72]]",actual,30.4105,0.020944,0.267383,0.00362962,50.0,03,
3605,20048,20098,66,46.222,False,"[[608.88, 501.24], [608.872, 501.605], [608.85, 501.98], [608.815, 502.364], [608.769, 502.755], [608.713, 503.153], [608.65, 503.556], [608.581, 503.963], [608.508, 504.373], [608.432, 504.786], [608.355, 505.2], [608.279, 505.614], [608.206, 506.027], [608.137, 506.437], [608.074, 506.844], [608.019, 507.248], [607.974, 507.645], [607.939, 508.036], [607.918, 508.42], [607.911, 508.795], [607.92, 509.16], [610.44, 522.12], [610.08, 531.72], [605.04, 540.48], [605.64, 545.76]]",actual,8.7822,0.006048,0.077217,0.00104819,50.0,03,
362H,20050,20051,66,19.648,False,"[[566.04, 504.12], [566.04, 498.84], [578.64, 492.72], [578.28, 492.72]]",actual,3.7331,0.002571,0.032823,0.00044556,50.0,03,
362G,20052,20053,66,43.832,False,"[[644.04, 491.28], [644.021, 491.586], [644.001, 491.892], [643.979, 492.198], [643.956, 492.503], [643.931, 492.808], [643.906, 493.113], [643.88, 493.417], [643.854, 493.72], [643.827, 494.023], [643.8, 494.325], [643.773, 494.626], [643.746, 494.926], [643.72, 495.225], [643.694, 495.523], [643.669, 495.819], [643.644, 496.115], [643.621, 496.408], [643.599, 496.701], [643.579, 496.991], [643.56, 497.28], [622.32, 509.04], [609.0, 511.44]]",actual,8.3281,0.005736,0.073224,0.00099399,50.0,03,
L0040,20054,20055,66,18.025,False,"[[622.2, 893.64], [607.68, 904.32]]",actual,3.4247,0.002359,0.030112,0.00040876,50.0,03,
312C,20056,20085,66,52.63,False,"[[658.2, 239.52], [662.52, 230.64], [655.8, 195.36], [657.6, 188.76]]",actual,9.9997,0.006887,0.087922,0.00119351,50.0,03,
L0041,20056,20232,66,25.563,False,"[[653.28, 238.92], [658.56, 239.88], [663.24, 257.64], [662.926, 259.443]]",actual,4.857,0.003345,0.042705,0.0005797,50.0,03,
L0042,20060,20160,66,25.444,False,"[[230.52, 784.8], [217.32, 791.4], [206.64, 791.76]]",actual,4.8344,0.003329,0.042506,0.000577,50.0,03,
L0043,20060,20181,66,12.369,False,"[[247.08, 779.76], [236.4, 773.52]]",actual,2.3501,0.001619,0.020663,0.0002805,50.0,03,
372B,20060,20182,66,21.894,False,"[[230.16, 784.68], [219.36, 781.92], [208.68, 780.72]]",actual,4.1599,0.002865,0.036575,0.0004965,50.0,03,
L0044,20061,20086,66,21.72,False,"[[277.08, 354.84], [298.8, 354.84]]",actual,4.1268,0.002842,0.036285,0.00049255,50.0,03,
L0045,20062,20089,66,29.889,False,"[[212.4, 396.48], [213.36, 409.92], [210.0, 420.12], [211.32, 425.64]]",actual,5.6789,0.003911,0.049932,0.0006778,50.0,03,
332C,20062,20107,66,51.105,False,"[[219.84, 422.76], [201.12, 428.04], [188.64, 427.56], [177.72, 431.16], [170.4, 428.88]]",actual,9.7099,0.006687,0.085374,0.00115893,50.0,03,
L0046,20062,20170,66,16.559,False,"[[219.24, 421.44], [234.72, 415.56]]",actual,3.1462,0.002167,0.027663,0.00037551,50.0,03,
371E,20063,20064,66,110.814,False,"[[258.96, 827.04], [246.96, 845.52], [227.76, 864.6], [192.96, 874.68], [182.04, 878.4], [174.36, 890.04]]",actual,21.0547,0.0145,0.185122,0.00251297,50.0,03,
3704,20063,20161,66,11.77,False,"[[257.28, 827.4], [260.64, 816.12]]",actual,2.2363,0.00154,0.019663,0.00026691,50.0,03,
3708,20065,20095,66,19.329,False,"[[341.52, 870.96], [354.0, 856.2]]",actual,3.6725,0.002529,0.03229,0.00043833,50.0,03,
371S,20065,20204,33,38.651,False,"[[366.48, 892.2], [357.36, 854.64]]",actual,7.3437,0.038236,0.262997,0.00023992,20.0,03,
3809,20067,20068,66,27.975,False,"[[607.68, 932.52], [616.56, 918.84], [616.998, 918.789], [617.482, 918.742], [618.006, 918.7], [618.565, 918.661], [619.155, 918.626], [619.77, 918.594], [620.405, 918.563], [621.055, 918.535], [621.715, 918.507], [622.38, 918.48], [623.045, 918.453], [623.705, 918.425], [624.355, 918.397], [624.99, 918.366], [625.605, 918.334], [626.195, 918.299], [626.754, 918.26], [627.278, 918.218], [627.762, 918.171], [628.2, 918.12]]",actual,5.3153,0.003661,0.046734,0.0006344,50.0,03,
L0047,20068,20227,66,49.691,False,"[[626.16, 916.08], [616.44, 916.32], [607.68, 904.2], [594.12, 896.04], [588.57, 888.718]]",actual,9.4413,0.006502,0.083012,0.00112686,50.0,03,
321G,20069,20203,33,16.125,False,"[[248.88, 180.12], [247.68, 196.2]]",actual,3.0638,0.015952,0.109721,0.00010009,20.0,03,
313H,20070,20071,66,10.699,False,"[[440.28, 219.24], [444.48, 229.08]]",actual,2.0328,0.0014,0.017873,0.00024262,50.0,03,
L0048,20072,20073,66,31.331,False,"[[330.24, 504.12], [341.76, 499.2], [360.24, 502.68]]",actual,5.9529,0.0041,0.052341,0.0007105,50.0,03,
344B,20073,20108,66,60.276,False,"[[306.48, 522.0], [327.24, 518.4], [365.16, 508.44]]",actual,11.4524,0.007887,0.100695,0.0013669,50.0,03,
313Q,20074,20164,66,17.481,False,"[[475.44, 369.96], [492.84, 371.64]]",actual,3.3214,0.002287,0.029203,0.00039642,50.0,03,
313R,20074,20226,33,44.655,False,"[[462.48, 372.72], [458.16, 373.56], [448.08, 376.8], [445.92, 384.36], [448.68, 396.24], [449.04, 405.84]]",actual,8.4845,0.044175,0.303851,0.00027719,20.0,03,
L0049,20076,20077,66,63.029,False,"[[296.52, 544.44], [279.36, 532.56], [281.64, 525.84], [282.24, 506.16], [282.097, 505.527], [281.955, 504.855], [281.815, 504.149], [281.676, 503.413], [281.539, 502.65], [281.402, 501.866], [281.266, 501.065], [281.13, 500.25], [280.995, 499.427], [280.86, 498.6], [280.725, 497.773], [280.59, 496.95], [280.454, 496.135], [280.318, 495.334], [280.181, 494.55], [280.044, 493.788], [279.905, 493.051], [279.765, 492.345], [279.623, 491.673], [279.48, 491.04]]",actual,11.9755,0.008248,0.105294,0.00142933,50.0,03,
L0050,20076,20108,66,24.514,False,"[[297.72, 545.64], [305.4, 522.36]]",actual,4.6577,0.003208,0.040952,0.00055591,50.0,03,
L0051,20076,20192,66,27.61,False,"[[310.44, 573.0], [300.0, 547.44]]",actual,5.2459,0.003613,0.046124,0.00062612,50.0,03,
L0052,20077,20176,66,12.518,False,"[[269.64, 493.56], [280.56, 499.68]]",actual,2.3784,0.001638,0.020912,0.00028387,50.0,03,
L0053,20078,20079,66,17.772,False,"[[375.84, 859.56], [373.68, 841.92]]",actual,3.3767,0.002326,0.029689,0.00040302,50.0,03,
3702,20079,20080,66,15.353,False,"[[373.68, 841.92], [359.4, 836.28]]",actual,2.9171,0.002009,0.025648,0.00034817,50.0,03,
3707,20079,20094,66,17.533,False,"[[390.36, 847.68], [373.8, 841.92]]",actual,3.3313,0.002294,0.02929,0.0003976,50.0,03,
313J,20081,20082,66,62.738,False,"[[361.32, 188.16], [352.68, 194.4], [352.681, 194.923], [352.683, 195.447], [352.687, 195.973], [352.692, 196.5], [352.699, 197.029], [352.706, 197.558], [352.714, 198.088], [352.722, 198.618], [352.731, 199.149], [352.74, 199.68], [352.749, 200.211], [352.758, 200.742], [352.766, 201.272], [352.774, 201.802], [352.781, 202.331], [352.788, 202.86], [352.793, 203.387], [352.797, 203.913], [352.799, 204.437], [352.8, 204.96], [359.88, 211.92], [360.0, 219.84], [353.64, 242.64]]",actual,11.9202,0.00821,0.104808,0.00142273,50.0,03,
313C,20083,20084,66,32.786,False,"[[525.48, 271.56], [524.52, 260.52], [544.68, 252.48]]",actual,6.2293,0.00429,0.054771,0.0007435,50.0,03,
L0054,20087,20088,66,15.84,False,"[[303.24, 417.84], [319.08, 417.84]]",actual,3.0096,0.002073,0.026462,0.00035921,50.0,03,
371K,20090,20091,66,20.292,False,"[[302.52, 703.68], [313.8, 704.76], [322.2, 701.64]]",actual,3.8555,0.002655,0.033899,0.00046017,50.0,03,
371F,20092,20093,66,38.837,False,"[[244.32, 848.4], [235.2, 844.92], [206.16, 846.36]]",actual,7.379,0.005082,0.06488,0.00088072,50.0,03,
L0055,20092,20093,33,30.871,False,"[[209.28, 848.64], [209.629, 848.633], [210.258, 848.613], [211.136, 848.582], [212.234, 848.54], [213.519, 848.49], [214.962, 848.433], [216.531, 848.37], [218.195, 848.302], [219.923, 848.232], [221.685, 848.16], [223.45, 848.088], [225.186, 848.018], [226.864, 847.95], [228.451, 847.887], [229.918, 847.83], [231.233, 847.78], [232.366, 847.738], [233.285, 847.707], [233.96, 847.687], [234.36, 847.68], [239.76, 849.72]]",actual,5.8655,0.030539,0.210059,0.00019163,20.0,03,
371H,20092,20212,33,25.505,False,"[[243.12, 851.76], [245.16, 852.48], [248.88, 846.96], [265.44, 849.0]]",actual,4.846,0.025231,0.173546,0.00015832,20.0,03,
371C,20093,20208,33,28.488,False,"[[180.96, 846.96], [188.4, 847.44], [189.24, 851.04], [197.88, 855.48], [202.08, 849.12]]",actual,5.4127,0.028182,0.193844,0.00017683,20.0,03,
L0056,20097,20098,66,73.424,False,"[[679.2, 533.04], [660.48, 537.84], [644.28, 537.6], [627.0, 543.96], [607.68, 546.48]]",actual,13.9506,0.009608,0.12266,0.00166506,50.0,03,
354A,20099,20100,66,93.898,False,"[[427.92, 605.88], [429.36, 598.8], [428.52, 585.48], [436.68, 553.92], [457.92, 547.8], [468.96, 532.8]]",actual,17.8406,0.012287,0.156863,0.00212936,50.0,03,
382B,20102,20103,66,28.583,False,"[[560.16, 820.2], [555.12, 820.2], [545.04, 814.92], [544.979, 814.858], [544.87, 814.679], [544.719, 814.394], [544.529, 814.013], [544.307, 813.548], [544.056, 813.008], [543.782, 812.406], [543.489, 811.752], [543.181, 811.056], [542.865, 810.33], [542.544, 809.584], [542.223, 808.829], [541.908, 808.076], [541.602, 807.335], [541.311, 806.618], [541.039, 805.934], [540.791, 805.296], [540.572, 804.714], [540.387, 804.198], [540.24, 803.76]]",actual,5.4308,0.00374,0.04775,0.00064819,50.0,03,
L0057,20103,20183,66,31.47,False,"[[550.2, 802.08], [546.84, 803.76], [538.08, 803.28], [533.52, 799.56], [532.98, 799.649], [532.405, 799.737], [531.801, 799.822], [531.17, 799.907], [530.516, 799.989], [529.844, 800.071], [529.156, 800.151], [528.457, 800.23], [527.75, 800.308], [527.04, 800.385], [526.33, 800.461], [525.623, 800.536], [524.924, 800.611], [524.236, 800.685], [523.564, 800.758], [522.91, 800.831], [522.279, 800.904], [521.675, 800.976], [521.1, 801.048], [520.56, 801.12]]",actual,5.9793,0.004118,0.052573,0.00071366,50.0,03,
L0058,20103,20229,33,26.356,False,"[[549.48, 802.32], [560.52, 807.0], [574.8, 808.56]]",actual,5.0076,0.026073,0.179337,0.0001636,20.0,03,
382D,20105,20106,66,11.33,False,"[[525.12, 822.84], [515.16, 817.44]]",actual,2.1527,0.001483,0.018928,0.00025693,50.0,03,
332E,20107,20197,33,74.832,False,"[[168.36, 427.8], [123.48, 425.28], [99.72, 407.16]]",actual,14.2181,0.074028,0.509187,0.0004645,20.0,03,
L0059,20107,20209,33,49.325,False,"[[167.76, 427.8], [165.6, 433.32], [153.72, 436.32], [147.84, 442.08], [139.68, 443.64], [137.88, 447.96], [147.48, 450.48]]",actual,9.3718,0.048795,0.335627,0.00030618,20.0,03,
L0060,20108,20210,33,10.304,False,"[[307.08, 511.44], [304.44, 521.4]]",actual,1.9578,0.010193,0.070113,6.396e-05,20.0,03,
L0061,20110,20192,66,32.196,False,"[[277.44, 575.52], [278.381, 575.497], [279.466, 575.464], [280.679, 575.423], [282.002, 575.376], [283.419, 575.323], [284.915, 575.266], [286.471, 575.207], [288.073, 575.146], [289.703, 575.085], [291.345, 575.025], [292.982, 574.968], [294.599, 574.915], [296.178, 574.868], [297.703, 574.827], [299.158, 574.794], [300.526, 574.771], [301.791, 574.759], [302.936, 574.759], [303.944, 574.772], [304.8, 574.8], [304.918, 574.799], [305.056, 574.799], [305.211, 574.802], [305.382, 574.809], [305.565, 574.822], [305.759, 574.845], [305.962, 574.879], [306.171, 574.927], [306.384, 574.99], [306.6, 575.07], [306.816, 575.17], [307.029, 575.292], [307.238, 575.439], [307.441, 575.611], [307.635, 575.812], [307.818, 576.044], [307.989, 576.309], [308.144, 576.608], [308.282, 576.944], [308.4, 577.32]]",actual,6.1172,0.004213,0.053786,0.00073012,50.0,03,
355C,20111,20112,66,15.815,False,"[[359.52, 642.96], [344.04, 646.2]]",actual,3.0048,0.002069,0.02642,0.00035864,50.0,03,
L0062,20112,20222,33,57.242,False,"[[347.4, 644.76], [341.16, 654.6], [339.662, 654.779], [337.92, 654.991], [335.963, 655.232], [333.817, 655.498], [331.509, 655.785], [329.067, 656.09], [326.518, 656.41], [323.888, 656.741], [321.204, 657.079], [318.495, 657.42], [315.786, 657.761], [313.106, 658.099], [310.48, 658.43], [307.937, 658.75], [305.503, 659.055], [303.205, 659.342], [301.071, 659.608], [299.127, 659.849], [297.401, 660.061], [295.92, 660.24]]",actual,10.876,0.056627,0.389498,0.00035532,20.0,03,
L0063,20115,20116,66,14.369,False,"[[567.36, 625.56], [560.64, 621.48], [554.16, 622.08]]",actual,2.7301,0.00188,0.024004,0.00032585,50.0,03,
L0064,20117,20118,66,55.877,False,"[[593.88, 682.08], [577.08, 695.04], [550.44, 699.96], [550.047, 699.974], [549.658, 699.979], [549.274, 699.978], [548.893, 699.97], [548.516, 699.956], [548.142, 699.938], [547.769, 699.917], [547.399, 699.893], [547.029, 699.867], [546.66, 699.84], [546.291, 699.813], [545.921, 699.787], [545.551, 699.763], [545.178, 699.742], [544.804, 699.724], [544.427, 699.71], [544.046, 699.702], [543.662, 699.701], [543.273, 699.706], [542.88, 699.72]]",actual,10.6166,0.007312,0.093346,0.00126714,50.0,03,
361B,20118,20119,66,30.874,False,"[[540.96, 708.48], [519.0, 706.92], [511.2, 702.72]]",actual,5.8661,0.00404,0.051577,0.00070014,50.0,03,
372A,20121,20122,66,34.795,False,"[[194.88, 805.08], [205.68, 810.24], [228.48, 809.16]]",actual,6.6111,0.004553,0.058127,0.00078906,50.0,03,
3705,20122,20163,66,47.932,False,"[[233.76, 816.48], [209.4, 828.6], [195.0, 829.08], [188.88, 827.52]]",actual,9.1071,0.006272,0.080074,0.00108697,50.0,03,
L0065,20124,20125,66,30.24,False,"[[269.64, 643.32], [270.393, 643.32], [271.142, 643.32], [271.886, 643.32], [272.627, 643.32], [273.364, 643.32], [274.098, 643.32], [274.831, 643.32], [275.561, 643.32], [276.291, 643.32], [277.02, 643.32], [277.749, 643.32], [278.479, 643.32], [279.209, 643.32], [279.942, 643.32], [280.676, 643.32], [281.413, 643.32], [282.154, 643.32], [282.898, 643.32], [283.647, 643.32], [284.4, 643.32], [299.88, 643.32]]",actual,5.7456,0.003957,0.050518,0.00068576,50.0,03,
341E,20127,20128,66,103.131,False,"[[173.76, 575.52], [163.56, 564.96], [163.56, 548.4], [161.4, 510.48], [151.8, 477.96]]",actual,19.5949,0.013495,0.172287,0.00233874,50.0,03,
L0066,20129,20130,66,40.341,False,"[[128.04, 547.2], [139.44, 535.92], [163.08, 541.56]]",actual,7.6648,0.005279,0.067392,0.00091483,50.0,03,
L0067,20130,20131,66,16.177,False,"[[175.8, 543.0], [162.96, 552.84]]",actual,3.0736,0.002117,0.027025,0.00036685,50.0,03,
341D,20130,20162,66,17.766,False,"[[163.08, 548.16], [149.16, 559.2]]",actual,3.3755,0.002325,0.029679,0.00040289,50.0,03,
343D,20132,20133,66,23.262,False,"[[183.6, 552.84], [165.72, 567.72]]",actual,4.4198,0.003044,0.038861,0.00052752,50.0,03,
341F,20134,20135,66,18.563,False,"[[119.52, 513.96], [136.68, 521.04]]",actual,3.527,0.002429,0.031011,0.00042096,50.0,03,
L0068,20137,20138,66,18.027,False,"[[150.6, 618.72], [149.751, 619.006], [148.898, 619.289], [148.041, 619.569], [147.18, 619.847], [146.316, 620.123], [145.449, 620.396], [144.582, 620.668], [143.713, 620.94], [142.844, 621.21], [141.975, 621.48], [141.107, 621.75], [140.241, 622.02], [139.376, 622.292], [138.515, 622.564], [137.657, 622.838], [136.803, 623.113], [135.954, 623.391], [135.11, 623.671], [134.271, 623.954], [133.44, 624.24]]",actual,3.4251,0.002359,0.030115,0.0004088,50.0,03,
L0069,20139,20140,66,107.417,False,"[[106.2, 639.12], [134.04, 645.72], [160.8, 645.96], [169.08, 640.44], [209.28, 652.92]]",actual,20.4092,0.014056,0.179448,0.00243593,50.0,03,
343H,20141,20142,66,33.731,False,"[[151.8, 657.48], [157.68, 666.12], [157.681, 667.289], [157.683, 668.457], [157.687, 669.623], [157.692, 670.788], [157.699, 671.951], [157.706, 673.114], [157.714, 674.276], [157.722, 675.438], [157.731, 676.599], [157.74, 677.76], [157.749, 678.921], [157.758, 680.082], [157.766, 681.244], [157.774, 682.406], [157.781, 683.569], [157.788, 684.732], [157.793, 685.897], [157.797, 687.063], [157.799, 688.231], [157.8, 689.4]]",actual,6.4089,0.004414,0.05635,0.00076493,50.0,03,
L0070,20142,20147,66,24.487,False,"[[157.8, 671.64], [133.32, 672.24]]",actual,4.6525,0.003204,0.040907,0.0005553,50.0,03,
343C,20143,20144,66,18.748,False,"[[128.76, 612.84], [146.64, 607.2]]",actual,3.5621,0.002453,0.03132,0.00042515,50.0,03,
343B,20143,20196,66,26.146,False,"[[118.56, 585.24], [126.72, 610.08]]",actual,4.9677,0.003421,0.043679,0.00059292,50.0,03,
L0071,20143,20148,66,44.188,False,"[[126.72, 609.72], [136.2, 629.88], [157.68, 634.2]]",actual,8.3957,0.005782,0.073819,0.00100207,50.0,03,
343G,20145,20146,66,10.331,False,"[[192.36, 626.64], [192.84, 636.96]]",actual,1.9629,0.001352,0.017259,0.00023428,50.0,03,
L0072,20147,20150,66,33.683,False,"[[139.32, 672.24], [139.285, 672.597], [139.251, 672.95], [139.219, 673.298], [139.188, 673.643], [139.159, 673.984], [139.13, 674.322], [139.102, 674.659], [139.074, 674.993], [139.047, 675.327], [139.02, 675.66], [138.993, 675.993], [138.966, 676.327], [138.938, 676.661], [138.91, 676.998], [138.881, 677.336], [138.852, 677.677], [138.821, 678.022], [138.789, 678.37], [138.755, 678.723], [138.72, 679.08], [125.52, 685.8], [125.489, 686.333], [125.468, 686.884], [125.456, 687.454], [125.451, 688.039], [125.452, 688.637], [125.46, 689.246], [125.471, 689.865], [125.485, 690.491], [125.502, 691.121], [125.52, 691.755], [125.538, 692.39], [125.555, 693.023], [125.569, 693.653], [125.58, 694.278], [125.587, 694.896], [125.589, 695.504], [125.584, 696.1], [125.572, 696.683], [125.551, 697.25], [125.52, 697.8]]",actual,6.3998,0.004408,0.05627,0.00076384,50.0,03,
353B,20148,20149,66,48.985,False,"[[156.0, 635.52], [159.87, 634.605], [163.27, 633.798], [166.252, 633.086], [168.869, 632.457], [171.172, 631.899], [173.215, 631.402], [175.049, 630.953], [176.726, 630.54], [178.299, 630.151], [179.82, 629.775], [181.341, 629.4], [182.914, 629.014], [184.591, 628.606], [186.425, 628.162], [188.468, 627.673], [190.771, 627.126], [193.388, 626.509], [196.37, 625.81], [199.77, 625.017], [203.64, 624.12]]",actual,9.3072,0.00641,0.081833,0.00111085,50.0,03,
L0073,20148,20153,66,71.997,False,"[[155.64, 636.24], [155.639, 637.313], [155.637, 638.373], [155.633, 639.421], [155.628, 640.459], [155.623, 641.488], [155.617, 642.509], [155.611, 643.524], [155.605, 644.534], [155.6, 645.541], [155.595, 646.545], [155.591, 647.548], [155.588, 648.552], [155.587, 649.558], [155.587, 650.566], [155.589, 651.579], [155.594, 652.598], [155.601, 653.625], [155.611, 654.659], [155.624, 655.704], [155.64, 656.76], [105.0, 666.0]]",actual,13.6794,0.009421,0.120276,0.0016327,50.0,03,
L0074,20151,20152,66,24.36,False,"[[114.24, 696.24], [138.6, 696.24]]",actual,4.6284,0.003188,0.040695,0.00055242,50.0,03,
371M,20154,20155,66,57.247,False,"[[326.4, 690.72], [304.8, 685.8], [284.76, 688.92], [276.36, 687.36], [270.12, 687.96]]",actual,10.8769,0.007491,0.095635,0.00129821,50.0,03,
371L,20155,20201,66,18.393,False,"[[273.36, 688.2], [273.289, 688.631], [273.188, 689.061], [273.059, 689.488], [272.906, 689.915], [272.732, 690.339], [272.54, 690.763], [272.334, 691.185], [272.118, 691.606], [271.893, 692.026], [271.665, 692.445], [271.436, 692.863], [271.209, 693.28], [270.987, 693.697], [270.775, 694.113], [270.576, 694.528], [270.392, 694.943], [270.227, 695.358], [270.084, 695.772], [269.968, 696.186], [269.88, 696.6], [260.64, 697.08]]",actual,3.4947,0.002407,0.030727,0.0004171,50.0,03,
L0075,20157,20158,66,11.083,False,"[[254.52, 432.6], [248.4, 441.84]]",actual,2.1058,0.00145,0.018515,0.00025133,50.0,03,
311B,20167,20168,66,72.395,False,"[[569.76, 139.2], [570.0, 148.68], [565.56, 160.2], [563.4, 210.72]]",actual,13.755,0.009473,0.120941,0.00164173,50.0,03,
362C,20171,20172,66,15.036,False,"[[492.48, 621.6], [486.24, 607.92]]",actual,2.8568,0.001968,0.025119,0.00034098,50.0,03,
