line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
343A,3,110,66,19.446,False,"[[276.84, 578.16], [281.16, 597.12]]",actual,3.6947,0.002545,0.032486,0.00044098,50.0,
L0008,3,156,66,30.443,False,"[[297.12, 610.2], [297.135, 610.599], [297.146, 611.002], [297.152, 611.41], [297.155, 611.821], [297.154, 612.236], [297.15, 612.654], [297.145, 613.073], [297.137, 613.495], [297.129, 613.917], [297.12, 614.34], [297.111, 614.763], [297.103, 615.185], [297.095, 615.607], [297.09, 616.026], [297.086, 616.444], [297.085, 616.859], [297.088, 617.27], [297.094, 617.678], [297.105, 618.081], [297.12, 618.48], [276.12, 625.56]]",actual,5.7842,0.003984,0.050857,0.00069037,50.0,
L0009,4,6,66,88.574,False,"[[375.0, 535.92], [384.24, 579.24], [381.0, 601.8], [381.062, 602.848], [381.107, 603.905], [381.135, 604.968], [381.15, 606.038], [381.152, 607.114], [381.144, 608.194], [381.127, 609.277], [381.104, 610.363], [381.076, 611.451], [381.045, 612.54], [381.013, 613.629], [380.983, 614.717], [380.955, 615.803], [380.932, 616.886], [380.916, 617.966], [380.908, 619.042], [380.91, 620.112], [380.925, 621.175], [380.955, 622.232], [381.0, 623.28]]",actual,16.8291,0.01159,0.147969,0.00200862,50.0,
355E,4,57,66,124.648,False,"[[380.64, 624.0], [360.6, 638.52], [354.72, 673.68], [333.72, 683.04], [324.24, 693.36], [321.0, 709.32], [331.92, 710.28]]",actual,23.6831,0.016311,0.208233,0.00282668,50.0,
344A,4,136,66,18.88,False,"[[384.96, 617.88], [403.56, 614.64]]",actual,3.5872,0.002471,0.03154,0.00042815,50.0,
333B,5,6,66,72.449,False,"[[342.84, 483.24], [348.72, 479.4], [353.76, 482.88], [353.723, 483.474], [353.685, 484.068], [353.644, 484.662], [353.603, 485.256], [353.559, 485.85], [353.515, 486.444], [353.469, 487.038], [353.422, 487.632], [353.374, 488.226], [353.325, 488.82], [353.275, 489.414], [353.224, 490.008], [353.173, 490.602], [353.121, 491.196], [353.068, 491.79], [353.015, 492.384], [352.962, 492.978], [352.908, 493.572], [352.854, 494.166], [352.8, 494.76], [363.96, 506.64], [372.6, 521.04], [372.742, 521.65], [372.881, 522.289], [373.017, 522.953], [373.151, 523.641], [373.283, 524.348], [373.412, 525.071], [373.54, 525.807], [373.668, 526.552], [373.794, 527.305], [373.92, 528.06], [374.046, 528.815], [374.172, 529.568], [374.3, 530.313], [374.428, 531.049], [374.557, 531.773], [374.689, 532.479], [374.823, 533.167], [374.959, 533.832], [375.098, 534.47], [375.24, 535.08]]",actual,13.7653,0.00948,0.121031,0.00164295,50.0,
333E,5,9,66,54.139,False,"[[339.48, 482.04], [333.96, 477.48], [335.52, 463.92], [331.08, 452.76], [312.36, 442.56]]",actual,10.2864,0.007084,0.090443,0.00122773,50.0,
L0010,7,8,66,44.793,False,"[[275.88, 731.76], [275.734, 732.16], [275.585, 732.569], [275.434, 732.984], [275.28, 733.406], [275.124, 733.834], [274.967, 734.266], [274.81, 734.701], [274.651, 735.139], [274.493, 735.579], [274.335, 736.02], [274.178, 736.461], [274.022, 736.901], [273.869, 737.339], [273.717, 737.774], [273.568, 738.206], [273.422, 738.634], [273.28, 739.056], [273.142, 739.471], [273.009, 739.88], [272.88, 740.28], [259.44, 738.36], [252.12, 739.8], [237.48, 738.24]]",actual,8.5107,0.005861,0.07483,0.00101579,50.0,
L0011,7,120,66,47.349,False,"[[313.08, 736.8], [289.92, 732.6], [266.16, 731.04]]",actual,8.9963,0.006196,0.0791,0.00107375,50.0,
L0012,7,202,33,61.626,False,"[[266.4, 731.64], [266.347, 732.486], [266.295, 733.332], [266.245, 734.178], [266.196, 735.024], [266.149, 735.87], [266.102, 736.716], [266.056, 737.562], [266.01, 738.408], [265.965, 739.254], [265.92, 740.1], [265.875, 740.946], [265.83, 741.792], [265.784, 742.638], [265.738, 743.484], [265.691, 744.33], [265.644, 745.176], [265.595, 746.022], [265.545, 746.868], [265.493, 747.714], [265.44, 748.56], [266.16, 754.68], [284.28, 767.76], [289.32, 776.28], [289.339, 776.603], [289.359, 776.925], [289.382, 777.244], [289.405, 777.563], [289.431, 777.879], [289.457, 778.195], [289.485, 778.509], [289.514, 778.822], [289.544, 779.134], [289.575, 779.445], [289.607, 779.755], [289.64, 780.064], [289.673, 780.373], [289.707, 780.681], [289.742, 780.988], [289.777, 781.295], [289.812, 781.602], [289.848, 781.908], [289.884, 782.214], [289.92, 782.52]]",actual,11.7089,0.060964,0.419328,0.00038253,20.0,
