line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
3602,14,114,66,83.389,False,"[[579.96, 602.28], [568.68, 613.56], [568.608, 614.189], [568.536, 614.817], [568.464, 615.443], [568.392, 616.068], [568.32, 616.691], [568.248, 617.314], [568.176, 617.936], [568.104, 618.558], [568.032, 619.179], [567.96, 619.8], [567.888, 620.421], [567.816, 621.042], [567.744, 621.664], [567.672, 622.286], [567.6, 622.909], [567.528, 623.533], [567.456, 624.157], [567.384, 624.783], [567.312, 625.411], [567.24, 626.04], [560.64, 636.72], [558.84, 651.6], [551.64, 667.44], [544.8, 660.24]]",actual
381C,15,16,66,77.398,False,"[[548.16, 727.44], [545.04, 733.08], [505.8, 748.92], [483.6, 753.12], [483.519, 753.421], [483.422, 753.712], [483.311, 753.994], [483.187, 754.269], [483.052, 754.538], [482.909, 754.8], [482.758, 755.059], [482.602, 755.315], [482.442, 755.568], [482.28, 755.82], [482.118, 756.072], [481.958, 756.325], [481.802, 756.581], [481.651, 756.84], [481.507, 757.103], [481.373, 757.371], [481.249, 757.646], [481.138, 757.928], [481.041, 758.219], [480.96, 758.52]]",actual
L0020,15,40,66,12.924,False,"[[548.88, 724.8], [536.4, 728.16]]",actual
381D,15,59,66,16.261,False,"[[549.48, 726.84], [556.08, 731.4], [554.28, 739.44]]",actual
381A,16,66,66,71.271,False,"[[480.96, 759.24], [477.48, 767.04], [462.24, 781.08], [455.16, 788.16], [455.156, 788.55], [455.143, 788.928], [455.123, 789.297], [455.097, 789.656], [455.064, 790.007], [455.027, 790.351], [454.986, 790.69], [454.941, 791.025], [454.894, 791.356], [454.845, 791.685], [454.795, 792.013], [454.745, 792.342], [454.696, 792.672], [454.648, 793.004], [454.603, 793.341], [454.561, 793.682], [454.523, 794.029], [454.489, 794.384], [454.461, 794.747], [454.44, 795.12], [457.92, 803.16], [467.88, 807.36], [470.16, 812.28]]",actual
L0021,17,18,66,91.584,False,"[[532.44, 693.48], [542.88, 699.36], [540.48, 706.2], [539.88, 721.68], [534.6, 732.48], [535.44, 742.2], [536.76, 751.44], [532.8, 767.28], [542.16, 768.36]]",actual
361A,17,114,66,48.648,False,"[[543.12, 661.8], [550.68, 672.48], [550.699, 672.931], [550.719, 673.383], [550.742, 673.837], [550.765, 674.293], [550.791, 674.749], [550.817, 675.206], [550.845, 675.664], [550.874, 676.122], [550.904, 676.581], [550.935, 677.04], [550.967, 677.499], [551.0, 677.958], [551.033, 678.416], [551.067, 678.874], [551.102, 679.331], [551.137, 679.788], [551.172, 680.243], [551.208, 680.697], [551.244, 681.149], [551.28, 681.6], [549.96, 689.16], [547.44, 692.16], [532.68, 690.72]]",actual
L0022,18,35,66,92.344,False,"[[545.52, 767.64], [545.28, 773.4], [538.08, 773.4], [526.8, 783.24], [521.4, 798.84], [520.32, 812.76], [505.44, 826.56], [499.92, 839.04]]",actual
L0023,19,227,66,46.008,False,"[[588.57, 888.718], [576.84, 873.24], [575.692, 872.736], [574.518, 872.232], [573.321, 871.728], [572.104, 871.224], [570.87, 870.72], [569.621, 870.216], [568.361, 869.712], [567.092, 869.208], [565.817, 868.704], [564.54, 868.2], [563.262, 867.696], [561.988, 867.192], [560.719, 866.688], [559.459, 866.184], [558.21, 865.68], [556.976, 865.176], [555.759, 864.672], [554.562, 864.168], [553.388, 863.664], [552.24, 863.16]]",actual
L0024,20,21,66,49.687,False,"[[539.52, 892.68], [551.76, 881.52], [552.24, 848.4]]",actual
3810,20,173,66,80.983,False,"[[587.16, 939.72], [583.68, 933.72], [584.28, 919.56], [579.96, 907.8], [575.52, 902.76], [563.88, 897.12], [552.12, 897.36], [543.96, 898.2], [537.72, 893.64]]",actual
383H,20,211,33,50.943,False,"[[543.6, 937.32], [535.32, 926.04], [538.56, 921.0], [530.4, 908.52], [530.799, 907.707], [531.204, 906.889], [531.613, 906.069], [532.025, 905.249], [532.438, 904.433], [532.85, 903.621], [533.261, 902.818], [533.668, 902.025], [534.07, 901.245], [534.465, 900.48], [534.852, 899.733], [535.23, 899.007], [535.596, 898.304], [535.95, 897.627], [536.289, 896.977], [536.613, 896.359], [536.92, 895.773], [537.207, 895.223], [537.475, 894.711], [537.72, 894.24]]",actual
383G,21,35,66,54.229,False,"[[549.48, 847.68], [532.8, 846.72], [511.44, 837.72], [497.28, 840.0]]",actual
L0025,22,23,66,158.409,False,"[[356.04, 801.0], [301.44, 816.0], [273.84, 817.32], [256.8, 815.4], [240.36, 820.8], [229.2, 812.76], [229.164, 812.219], [229.128, 811.677], [229.092, 811.132], [229.056, 810.587], [229.02, 810.039], [228.984, 809.491], [228.948, 808.941], [228.912, 808.39], [228.876, 807.838], [228.84, 807.285], [228.804, 806.731], [228.768, 806.176], [228.732, 805.621], [228.696, 805.065], [228.66, 804.508], [228.624, 803.951], [228.588, 803.394], [228.552, 802.836], [228.516, 802.278], [228.48, 801.72], [243.36, 801.36]]",actual
371N,22,57,66,123.101,False,"[[330.36, 713.64], [319.92, 714.12], [310.92, 745.2], [309.12, 761.76], [329.16, 775.2], [343.8, 781.8], [358.68, 799.92]]",actual
L0026,22,65,66,58.97,False,"[[358.68, 797.52], [359.4, 836.4], [356.04, 856.2]]",actual
L0027,23,34,66,39.475,False,"[[242.04, 797.28], [230.88, 797.16], [231.0, 781.08], [230.988, 781.006], [230.988, 780.929], [230.997, 780.849], [231.016, 780.767], [231.043, 780.682], [231.077, 780.596], [231.116, 780.508], [231.159, 780.42], [231.206, 780.33], [231.255, 780.24], [231.305, 780.15], [231.354, 780.06], [231.402, 779.972], [231.448, 779.884], [231.489, 779.798], [231.526, 779.713], [231.557, 779.631], [231.58, 779.551], [231.595, 779.474], [231.6, 779.4], [223.08, 773.4]]",actual
