bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side
108,305.44,521.92,3,generator,発電所,土崎,False,
109,259.56,511.92,1,generator,発電所,,False,
110,277.14,576.84,2,substation_or_sw,開閉所,大川反,False,
111,359.52,642.96,1,junction,,川添,True,unknown
112,345.72,645.48,2,substation_or_sw,1次変電所,川添,False,
113,490.8,664.56,1,substation_or_sw,開閉所,刈和野,False,
114,543.96,661.02,2,substation_or_sw,開閉所,大仙,False,
115,567.36,625.56,1,junction,,(330805),False,
116,554.16,622.08,1,substation_or_sw,開閉所,角館,False,
117,593.88,682.08,1,substation_or_sw,開閉所,千畑,False,
118,541.92,704.1,2,junction,,大曲,False,
119,511.2,702.72,1,substation_or_sw,変電所,大曲,False,
120,313.08,736.8,1,junction,,(330605),False,
121,194.88,805.08,1,substation_or_sw,変電所,(330620),False,
122,231.12,812.82,2,junction,,由利,False,
123,216.36,407.58,0,generator,発電所,(330311）,False,
124,269.64,643.32,1,generator,発電所,新屋,False,
125,299.88,643.32,1,generator,発電所,羽川,False,
126,148.92,521.88,1,substation_or_sw,変電所,(330401),False,
127,173.76,575.52,1,junction,,(330402),False,
128,151.6,482.72,1,generator,発電所,(330404),False,
129,128.04,547.2,1,substation_or_sw,変電所,(330402),False,
130,163.04,547.52,3,substation_or_sw,開閉所,(330401),False,
131,175.8,543.0,1,generator,発電所,(330401),False,
132,183.6,552.84,1,substation_or_sw,変電所,(330401),False,
133,165.72,567.72,1,substation_or_sw,開閉所,(330402),False,
134,119.52,513.96,1,generator,発電所,(330408),False,
135,136.68,521.04,1,junction,,(330408),False,
136,403.56,614.64,1,generator,発電所,(330506),False,
137,150.6,618.72,1,substation_or_sw,変電所,牛島,False,
138,133.44,624.24,1,junction,,牛島,False,
139,106.2,639.12,1,substation_or_sw,変電所,新屋,False,
140,209.28,652.92,1,junction,,,False,
141,151.8,657.48,1,junction,,牛島,False,
142,155.34,681.0,2,substation_or_sw,変電所,(330406),False,
143,127.4,610.88,3,junction,,牛島,False,
144,146.64,607.2,1,substation_or_sw,変電所,牛島,False,
145,192.36,626.64,1,junction,,牛島,False,
146,192.84,636.96,1,substation_or_sw,変電所,牛島,False,
147,136.32,672.24,2,substation_or_sw,変電所,(330407),False,
148,156.463,635.743,3,substation_or_sw,開閉所,牛島,False,
149,203.64,624.12,1,junction,,牛島,False,
150,125.52,697.8,1,generator,発電所,(330407),False,
151,114.24,696.24,1,generator,発電所,(330405),False,
152,138.6,696.24,1,generator,発電所,(330406),False,
153,105.0,666.0,1,substation_or_sw,開閉所,新屋,False,
154,326.4,690.72,1,junction,,(330501),False,
155,268.59,684.63,2,generator,発電所,(330503),False,
156,276.12,625.56,1,substation_or_sw,開閉所,新屋,False,
157,254.52,432.6,1,junction,,(330304),False,
158,248.4,441.84,1,generator,発電所,(330304),False,
159,260.88,277.08,1,generator,発電所,(330207),False,
160,206.64,791.76,1,generator,発電所,(330620),False,
161,260.64,816.12,1,generator,発電所,(330623),False,
162,149.16,559.2,1,generator,発電所,(330402),False,
163,188.88,827.52,1,substation_or_sw,開閉所,象潟,False,
164,492.84,371.64,1,generator,発電所,(330109),False,
