line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva
171C,34,38,66,83.4,False,"[[486.48, 672.751], [490.08, 689.791], [480.0, 713.791], [479.531, 713.774], [479.026, 713.759], [478.49, 713.744], [477.925, 713.732], [477.337, 713.72], [476.73, 713.709], [476.106, 713.699], [475.471, 713.689], [474.827, 713.68], [474.18, 713.671], [473.533, 713.662], [472.889, 713.653], [472.254, 713.643], [471.63, 713.633], [471.022, 713.622], [470.435, 713.611], [469.87, 713.598], [469.334, 713.584], [468.829, 713.568], [468.36, 713.551], [464.76, 685.471]]",actual,14.178,0.009764,0.12466,0.00169221,50.0
L0031,34,38,66,21.108,False,"[[486.48, 683.311], [468.0, 693.511]]",actual,3.5884,0.002471,0.031551,0.00042829,50.0
172D,34,156,66,31.328,False,"[[463.68, 695.671], [460.2, 696.991], [433.08, 702.151]]",actual,5.3258,0.003668,0.046827,0.00063565,50.0
L0032,35,36,66,83.212,False,"[[709.08, 218.071], [720.24, 232.591], [724.92, 236.671], [729.12, 247.591], [729.12, 254.551], [723.72, 267.511], [728.64, 276.511], [726.6, 292.111]]",actual,14.146,0.009742,0.124379,0.00168839,50.0
L0033,35,37,66,34.667,False,"[[682.8, 237.031], [683.467, 236.869], [684.135, 236.707], [684.805, 236.545], [685.476, 236.383], [686.149, 236.221], [686.822, 236.059], [687.496, 235.897], [688.17, 235.735], [688.845, 235.573], [689.52, 235.411], [690.195, 235.249], [690.87, 235.087], [691.544, 234.925], [692.218, 234.763], [692.891, 234.601], [693.564, 234.439], [694.235, 234.277], [694.905, 234.115], [695.573, 233.953], [696.24, 233.791], [702.96, 228.631], [709.2, 217.951]]",actual,5.8934,0.004059,0.051817,0.0007034,50.0
L0034,35,76,66,77.013,False,"[[709.08, 218.071], [719.16, 201.031], [740.4, 180.511], [751.68, 171.271], [751.44, 170.785], [751.188, 170.265], [750.927, 169.714], [750.657, 169.137], [750.379, 168.537], [750.095, 167.919], [749.805, 167.285], [749.512, 166.64], [749.217, 165.988], [748.92, 165.331], [748.623, 164.675], [748.328, 164.022], [748.035, 163.377], [747.745, 162.744], [747.461, 162.125], [747.183, 161.525], [746.913, 160.948], [746.651, 160.398], [746.4, 159.878], [746.16, 159.391]]",actual,13.0922,0.009017,0.115113,0.00156261,50.0
L0035,36,117,66,54.44,False,"[[722.64, 294.871], [722.263, 294.817], [721.887, 294.763], [721.513, 294.71], [721.14, 294.656], [720.769, 294.603], [720.398, 294.55], [720.028, 294.498], [719.658, 294.447], [719.289, 294.396], [718.92, 294.346], [718.551, 294.297], [718.182, 294.249], [717.812, 294.202], [717.442, 294.156], [717.071, 294.112], [716.7, 294.069], [716.327, 294.027], [715.953, 293.987], [715.577, 293.948], [715.2, 293.911], [706.92, 314.551], [717.0, 321.631], [727.32, 328.471]]",actual,9.2548,0.006374,0.081373,0.0011046,50.0
L0036,36,40,66,48.55,False,"[[724.8, 291.151], [713.4, 287.551], [703.56, 310.471], [693.72, 304.231]]",actual,8.2535,0.005684,0.072569,0.00098509,50.0
L0037,37,39,66,21.025,False,"[[684.36, 238.351], [690.72, 258.391]]",actual,3.5743,0.002462,0.031426,0.0004266,50.0
L0038,37,230,66,24.696,False,"[[687.24, 233.671], [672.48, 213.871]]",actual,4.1983,0.002891,0.036914,0.00050109,50.0
