bus_id,x,y,degree,symbol_type,ss_type,name,cross_prefecture,border_side,bus_type,load_mw,load_mvar,p_gen_mw,q_gen_mvar,v_pu
60,424.66,547.391,2,substation_or_sw,開閉所,18１A,False,,PQ,0.0,0.0,0.0,0.0,1.0
61,471.9,615.301,2,substation_or_sw,開閉所,(310701),False,,PQ,0.0,0.0,0.0,0.0,1.0
62,623.16,543.871,1,junction,,(310201),False,,PQ,0.0,0.0,0.0,0.0,1.0
63,636.3,535.351,2,junction,,(310201),False,,PQ,0.0,0.0,0.0,0.0,1.0
64,610.64,776.621,2,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0
65,635.426,792.22,2,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0
66,640.08,880.271,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
67,632.554,758.14,3,substation_or_sw,開閉所,※Ａ,False,,PQ,0.0,0.0,0.0,0.0,1.0
68,717.0,321.391,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
69,702.15,348.061,4,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
70,748.26,417.391,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
71,647.6,1037.112,3,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
72,658.68,1047.032,1,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
73,754.32,396.631,1,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
74,486.24,795.646,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
75,504.9,802.381,4,substation_or_sw,開閉所,小湊,False,,PQ,0.0,0.0,0.0,0.0,1.0
76,749.616,164.815,5,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
77,770.4,152.071,1,junction,,,True,E/N,PQ,0.0,0.0,0.0,0.0,1.0
78,538.32,582.751,1,junction,,(310120),False,,PQ,0.0,0.0,0.0,0.0,1.0
79,354.672,807.103,3,substation_or_sw,開閉所,(310401),False,,PQ,0.0,0.0,0.0,0.0,1.0
80,335.46,731.791,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
81,369.96,699.721,4,substation_or_sw,開閉所,(310704),False,,PQ,0.0,0.0,0.0,0.0,1.0
82,334.32,753.631,2,junction,,六ヶ所,False,,PQ,0.0,0.0,0.0,0.0,1.0
83,485.82,833.311,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
84,504.0,816.871,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
85,457.44,851.431,2,substation_or_sw,開閉所,,False,,PQ,0.0,0.0,0.0,0.0,1.0
86,514.08,840.391,2,junction,,,False,,PQ,0.0,0.0,0.0,0.0,1.0
87,548.16,909.391,1,junction,,仲崎,False,,PQ,0.0,0.0,0.0,0.0,1.0
