line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type
L0017,10,43,66,57.081,False,"[[477.6, 746.76], [484.56, 746.76], [490.32, 748.8], [503.52, 759.36], [503.449, 759.864], [503.379, 760.368], [503.311, 760.872], [503.244, 761.375], [503.179, 761.878], [503.114, 762.381], [503.05, 762.883], [502.986, 763.384], [502.923, 763.885], [502.86, 764.385], [502.797, 764.884], [502.734, 765.382], [502.67, 765.879], [502.606, 766.375], [502.541, 766.869], [502.476, 767.363], [502.409, 767.854], [502.341, 768.345], [502.271, 768.833], [502.2, 769.32], [507.6, 776.52], [507.405, 776.866], [507.218, 777.217], [507.036, 777.575], [506.859, 777.938], [506.687, 778.305], [506.519, 778.676], [506.354, 779.049], [506.193, 779.425], [506.033, 779.802], [505.875, 780.18], [505.718, 780.558], [505.561, 780.935], [505.404, 781.311], [505.245, 781.684], [505.086, 782.055], [504.924, 782.422], [504.759, 782.785], [504.59, 783.143], [504.417, 783.494], [504.24, 783.84]]",actual
L0018,10,44,66,32.993,False,"[[476.52, 749.64], [481.44, 749.64], [493.8, 758.52], [494.4, 771.36]]",actual
L0019,10,36,66,37.508,False,"[[475.44, 747.48], [474.84, 738.48], [483.96, 721.68], [486.12, 712.56]]",actual
L0020,10,100,66,12.042,False,"[[462.84, 739.44], [463.374, 739.342], [463.931, 739.264], [464.508, 739.203], [465.102, 739.158], [465.711, 739.125], [466.332, 739.103], [466.962, 739.09], [467.6, 739.083], [468.241, 739.08], [468.885, 739.08], [469.528, 739.08], [470.167, 739.077], [470.8, 739.07], [471.424, 739.057], [472.037, 739.035], [472.636, 739.002], [473.218, 738.957], [473.781, 738.896], [474.323, 738.818], [474.84, 738.72]]",actual
L0021,11,12,66,34.552,False,"[[375.0, 1003.081], [378.24, 1007.881], [385.44, 1008.961], [406.92, 1008.961]]",actual
L0022,11,67,66,17.486,False,"[[369.6, 1008.241], [374.04, 1015.321], [374.399, 1015.369], [374.788, 1015.405], [375.204, 1015.432], [375.645, 1015.449], [376.106, 1015.458], [376.584, 1015.46], [377.076, 1015.457], [377.579, 1015.45], [378.088, 1015.439], [378.6, 1015.426], [379.112, 1015.412], [379.621, 1015.399], [380.124, 1015.387], [380.616, 1015.377], [381.094, 1015.372], [381.555, 1015.371], [381.995, 1015.376], [382.412, 1015.389], [382.801, 1015.41], [383.16, 1015.441]]",actual
L0023,12,13,66,51.1,False,"[[406.92, 1009.561], [407.52, 994.081], [411.36, 986.761], [408.24, 975.361], [414.6, 961.201]]",actual
L0024,13,72,66,48.953,False,"[[362.16, 956.641], [397.08, 956.641], [406.32, 946.08]]",actual
L0025,13,75,66,52.415,False,"[[413.64, 960.961], [447.36, 990.721], [451.92, 984.841]]",actual
L0026,13,277,66,43.638,False,"[[420.48, 941.04], [420.498, 939.599], [420.516, 938.157], [420.534, 936.712], [420.552, 935.267], [420.57, 933.819], [420.588, 932.371], [420.606, 930.921], [420.624, 929.47], [420.642, 928.018], [420.66, 926.565], [420.678, 925.111], [420.696, 923.656], [420.714, 922.201], [420.732, 920.745], [420.75, 919.288], [420.768, 917.831], [420.786, 916.374], [420.804, 914.916], [420.822, 913.458], [420.84, 912.0], [423.24, 905.88], [419.569, 898.748]]",actual
