line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,is_transformer
L0009,3,14,66,62.086,False,"[[286.56, 780.48], [290.28, 776.04], [280.32, 764.16], [279.743, 763.145], [279.132, 762.018], [278.492, 760.792], [277.828, 759.48], [277.146, 758.096], [276.45, 756.654], [275.747, 755.167], [275.042, 753.648], [274.339, 752.111], [273.645, 750.57], [272.964, 749.038], [272.302, 747.528], [271.664, 746.054], [271.056, 744.63], [270.482, 743.269], [269.948, 741.984], [269.46, 740.789], [269.022, 739.698], [268.64, 738.724], [268.32, 737.88], [268.319, 737.286], [268.317, 736.692], [268.313, 736.098], [268.308, 735.504], [268.301, 734.91], [268.294, 734.316], [268.286, 733.722], [268.278, 733.128], [268.269, 732.534], [268.26, 731.94], [268.251, 731.346], [268.242, 730.752], [268.234, 730.158], [268.226, 729.564], [268.219, 728.97], [268.212, 728.376], [268.207, 727.782], [268.203, 727.188], [268.201, 726.594], [268.2, 726.0]]",actual,6.2086,0.004276,0.054589,0.00074102,50.0,
454B,4,70,66,59.047,False,"[[376.68, 801.48], [376.68, 825.96], [362.88, 837.24], [355.44, 852.24]]",actual,5.9047,0.004067,0.051917,0.00070475,50.0,
454A,4,204,66,46.935,False,"[[378.24, 801.48], [364.56, 813.96], [363.156, 814.093], [361.752, 814.239], [360.348, 814.396], [358.943, 814.564], [357.538, 814.74], [356.133, 814.923], [354.727, 815.113], [353.32, 815.306], [351.913, 815.502], [350.505, 815.7], [349.096, 815.898], [347.686, 816.094], [346.275, 816.288], [344.863, 816.477], [343.449, 816.66], [342.035, 816.836], [340.618, 817.004], [339.201, 817.161], [337.781, 817.307], [336.36, 817.44]]",actual,4.6935,0.003232,0.041267,0.00056019,50.0,
L0010,4,214,66,23.353,False,"[[376.68, 800.28], [353.52, 797.28]]",actual,2.3353,0.001608,0.020533,0.00027873,50.0,
L0011,4,213,66,28.226,False,"[[375.48, 799.56], [376.68, 771.36]]",actual,2.8226,0.001944,0.024818,0.00033689,50.0,
456A,4,229,66,34.306,False,"[[379.08, 798.0], [385.2, 785.88], [392.04, 772.32], [397.32, 774.0]]",actual,3.4306,0.002363,0.030163,0.00040946,50.0,
453C,5,6,66,127.533,False,"[[590.4, 819.24], [595.56, 819.96], [606.84, 825.24], [627.6, 855.24], [637.08, 856.44], [640.92, 855.48], [699.72, 844.2]]",actual,12.7533,0.008783,0.112133,0.00152216,50.0,
461C,5,249,66,75.005,False,"[[572.4, 749.64], [571.44, 768.12], [578.04, 792.84], [591.72, 813.84], [588.96, 819.0]]",actual,7.5005,0.005166,0.065948,0.00089522,50.0,
L0012,6,7,66,27.186,False,"[[698.64, 840.84], [686.16, 826.68], [677.88, 827.4]]",actual,2.7186,0.001872,0.023903,0.00032448,50.0,
455A,6,256,66,30.041,False,"[[699.36, 842.4], [670.08, 835.68]]",actual,3.0041,0.002069,0.026413,0.00035855,50.0,
441B,6,276,66,41.195,False,"[[700.2, 841.08], [718.44, 807.48], [721.2, 808.56]]",actual,4.1195,0.002837,0.036221,0.00049168,50.0,
